power_id,bts_id,latitude,longitude,coverage_radius_m,pop_in_buffer_total,pop_in_buffer_in_outage,total_cost_vnd,deployment_time_hr
POWER_0014,1247,16.389166937117196,107.84374884855022,2500.0,14798.021484375,0.0,147683.11834856146,0.4031834507135104
POWER_0118,5148,16.40708360370498,107.630415516145,2500.0,11858.23828125,477.4267578125,193301.14088908015,0.6003190218670472
POWER_0022,1970,16.506389160617612,107.63083218142512,1000.0,5378.94921875,3747.58447265625,240940.99935352846,0.7618924168090803
POWER_0073,1795,16.537083603601687,107.50333218338126,2500.0,16502.85546875,1.164713978767395,1780113.7681392208,0.8270267802805189
POWER_0113,1256,16.32041693738499,107.772915515575,2500.0,15951.78125,0.0,107531.9361767295,0.1549821558446988
POWER_0037,3616,16.36458360387498,107.71874884912502,2500.0,18050.13671875,191.28652954101562,160946.2886625994,0.3700438219439188
POWER_0004,60,16.425481046997287,107.65192191494452,2500.0,28186.51171875,770.0657958984375,1721343.316143688,0.1769182248805099
POWER_0084,1060,16.507083603721096,107.6349988495245,1000.0,4397.4912109375,3844.96875,1811389.2572193176,0.4935796901251011
POWER_0147,1514,16.257083604715742,107.98666551479327,2500.0,5054.64697265625,245.7379608154297,303977.12713979464,1.1967843770374105
POWER_0137,5033,16.323750270704977,107.780415515545,2500.0,14451.9697265625,0.0,109269.52760309092,0.1564022598478473
POWER_0038,6057,16.37041693718498,107.705415515845,2500.0,12872.9169921875,1483.52880859375,284709.9732571696,0.8108303664923043
POWER_0007,3181,16.637083602784973,107.42124885031502,1000.0,2335.23828125,2335.23828125,1756990.4821831621,0.331044649925939
POWER_0133,4824,16.66958360265498,107.337915517315,2500.0,6777.23388671875,6500.6953125,1790375.7279602163,0.9117994918452648
POWER_0121,4230,16.440416937319558,107.56083218315273,1000.0,6507.435546875,340.099853515625,123865.41441433027,0.1701449967121229
POWER_0046,4578,16.38791693711499,107.856248848575,2500.0,12993.3779296875,0.0,1919477.8569542675,1.38486072701989
POWER_0062,2936,16.535694714732383,107.46930440527626,1000.0,3132.850341796875,1223.73095703125,147636.08353690788,0.3053260590845881
POWER_0017,6150,16.41291693701498,107.588748849645,2500.0,17597.484375,0.0,210097.3947196011,0.7599989120821607
POWER_0039,4703,16.38375027046498,107.56791551639502,2500.0,4554.39208984375,4.574865341186523,1784573.4104463488,0.3243590231335672
POWER_0139,2281,16.30791693743498,107.771248848915,2500.0,11733.0224609375,50.95064926147461,117851.11309059602,0.177382775205099
POWER_0098,1973,16.437916936914984,107.722915515775,2500.0,8968.490234375,834.782958984375,1857881.9128258037,1.0113066719546753
POWER_0101,6382,16.506250269974984,107.484582183395,2500.0,24648.24609375,219.0040740966797,1733328.8565302317,0.2545694012033502
POWER_0068,575,16.480416936744987,107.641248849435,1000.0,5404.69921875,51.6995735168457,137685.1757428614,0.2516706109254904
POWER_0111,213,16.549338512966226,107.57580767008024,2500.0,14400.6171875,14400.6171875,243450.10507345427,0.5050325495430487
POWER_0033,2431,16.57958360301498,107.48958218337502,2500.0,12666.6552734375,661.62109375,102371.01593606357,0.0600192859502515
POWER_0078,3653,16.541250269834983,107.468748850125,1000.0,3508.2578125,2465.284423828125,232104.15947474045,0.7392972127781491
POWER_0120,3436,16.43000027028739,107.59041551623687,1000.0,9813.33203125,0.0,1833980.7142575807,0.8099828818493394
POWER_0035,3050,16.25875027096498,107.939582181575,2500.0,8650.3857421875,273.0565185546875,138812.19228473504,0.3206023257230711
POWER_0141,3310,16.29958360413498,107.345415517285,1000.0,410.3853759765625,302.27801513671875,304359.50077469426,1.2510348958036863
POWER_0096,449,16.373750270504978,107.813748848745,2500.0,5677.81884765625,1555.663818359375,131614.32536760237,0.319287827638508
POWER_0127,3494,16.473750270104983,107.513748849945,2500.0,17591.5859375,3917.158935546875,146065.1254430785,0.1540420920613686
POWER_0050,240,16.427708604456676,107.60124884967112,2500.0,39935.5703125,508.6471252441406,1712344.6528156486,0.1954416799487625
POWER_0064,3215,16.314583604074976,107.778748848885,2500.0,14001.0576171875,0.0,104848.72079978418,0.1378385631286519
POWER_0144,2712,16.55791693643498,107.396248850415,1000.0,1248.170166015625,1248.170166015625,1691663.1570028695,0.0963478187193575
POWER_0125,6452,16.388750270444977,107.857082181905,2500.0,12414.4140625,0.0,1844806.0854337048,1.3614415753219091
POWER_0024,4802,16.312916937414982,107.793748848825,2500.0,8465.8046875,0.0,102942.4053186617,0.1220907395889444
POWER_0057,245,16.447916937200898,107.57562384960936,1000.0,25388.52734375,5668.65625,1696491.901606933,0.0945926075509206
POWER_0116,3531,16.462916936814985,107.716248849135,2500.0,6636.94775390625,8.670944213867188,196141.2150991641,0.6299292088883537
