cow_id,site_id,latitude,longitude,coverage_radius_m,pop_in_buffer_total,pop_in_buffer_in_outage,total_cost_vnd,deployment_time_hr
COW_001,122,16.457876929945762,107.54754848174686,4000.0,156721.84375,90221.734375,20008765.170272987,0.576218871939034
COW_005,0,16.472721047842814,107.58520926946088,4000.0,350407.4375,242601.984375,20004916.76703304,4917.267033042167
COW_006,75,16.464308771635896,107.58809854093185,2000.0,149991.796875,126338.9921875,15004532.315151785,0.5358285782749811
COW_013,203,16.453751056903666,107.52763232842717,4000.0,61145.6875,24605.19921875,20008355.4064684,0.5726557084208604
COW_022,792,16.273636782886193,107.86558158522222,4000.0,15821.01953125,5779.185546875,20011501.96929569,0.600017124310366
COW_028,504,16.407020687760866,107.71045946868959,4000.0,34812.06640625,5840.662109375,20012639.085178692,0.6099050885103694
COW_031,555,16.595691026378073,107.51136919179147,4000.0,25582.9921875,12949.783203125,20005514.87145924,0.5479554039933632
COW_033,8,16.24914709978052,107.23812803379454,4000.0,22510.6484375,15892.484375,20006285.826602153,0.5546593617578651
