power_id,bts_id,latitude,longitude,coverage_radius_m,pop_in_buffer_total,pop_in_buffer_in_outage,total_cost_vnd,deployment_time_hr
POWER_0007,1293,16.275833604237555,107.22041551772664,1000.0,3806.982666015625,3806.982666015625,1770257.7063399788,0.7456071393302595
POWER_0118,2343,16.33025027102603,107.75908218262389,2500.0,14896.8046875,5532.583984375,117538.38454387049,0.1975252233314947
POWER_0052,1033,16.440416936924386,107.78458218199977,2500.0,14852.8583984375,7.049448013305664,239300.41028266642,0.6225686054388542
POWER_0031,1795,16.537083603601687,107.50333218338126,2500.0,16502.85546875,1.164713978767395,343623.15594195947,1.1247191254033049
POWER_0036,3008,16.267083604264972,107.865415515205,2500.0,11355.92578125,11350.416015625,258304.853315378,0.9357973565224847
POWER_0018,2203,16.25791693763498,107.979582181415,2500.0,5446.0546875,619.5438232421875,2017824.8443193391,1.8359725971670255
POWER_0126,1746,16.451250270194976,107.789582182175,2500.0,13109.841796875,7.601271629333496,121985.7487445256,0.2397474120565693
POWER_0067,4212,16.34958360393498,107.715415515805,2500.0,11823.212890625,11823.212890625,1772197.053008753,0.48045128665834
POWER_0010,2100,16.445972492757566,107.57180440566005,1000.0,14524.482421875,1154.263916015625,1801635.5026672413,0.4549135147041447
POWER_0139,2013,16.42041693698498,107.647915516075,2500.0,26548.79296875,592.9515380859375,187081.40510941815,0.56986682399804
POWER_0011,678,16.51041693662498,107.556248849775,2500.0,24428.994140625,22464.916015625,186860.50605446962,0.4904820346943256
POWER_0123,2936,16.535694714732383,107.46930440527626,1000.0,3132.850341796875,3132.850341796875,1709222.9507881384,0.1969151538449586
POWER_0081,6436,16.19125027123497,107.297915517475,1000.0,566.74169921875,566.74169921875,1755480.7301374243,0.2779480906740518
POWER_0020,6150,16.41291693701498,107.588748849645,2500.0,17597.484375,1648.0458984375,1779896.6002019895,0.8252327842773038
POWER_0147,3058,16.422916936974982,107.641248849435,1000.0,8753.134765625,19.52935028076172,115191.54375149719,0.1565349553053387
POWER_0062,5401,16.465416936804985,107.536248849855,1000.0,6807.3779296875,6807.3779296875,145309.622876502,0.1695442672051776
POWER_0056,4848,16.280416937544985,107.857915515235,2500.0,5297.8525390625,4443.9560546875,97638.49339751409,0.0782758150229424
POWER_0009,4727,16.41208360368498,107.650415516065,2500.0,27871.291015625,109.89021301269531,1774078.6638274621,0.574336933997633
POWER_0082,1392,16.382916937134983,107.861248848555,2500.0,12981.349609375,0.0,148578.0425273229,0.4519592159484442
POWER_0017,6475,16.472916936774983,107.753748848985,2500.0,7908.88232421875,5603.0283203125,250534.63071499765,0.7153730350972417
POWER_0015,3353,16.672916935974982,107.336248850655,1000.0,1819.627197265625,1819.627197265625,1921738.241114497,0.96938708356524
POWER_0045,256,16.469166936797414,107.57791551628723,2500.0,184633.125,176025.9375,165372.7473338967,0.386337558050792
POWER_0014,2733,16.07875027168498,107.354582183915,1000.0,689.0814208984375,475.911376953125,222325.18260037084,1.108296291046542
POWER_0132,4605,16.488750270044985,107.571248849715,1000.0,17399.86328125,17399.86328125,97210.11968119514,0.0241334068749697
POWER_0092,1542,16.482361381500116,107.6423599609342,1000.0,5920.5771484375,1538.6339111328125,238603.8092414451,0.7654897842000326
POWER_0022,25,16.530416936961565,107.55333218318246,1000.0,5201.71728515625,5201.71728515625,206700.2448481056,0.5781421952694502
POWER_0035,623,16.380416937144975,107.485415516725,2500.0,2413.73828125,832.890869140625,280110.9976718682,1.0834348106682412
POWER_0032,2285,16.387916937114976,107.700415515865,1000.0,2787.1884765625,1786.76953125,109675.69112777922,0.1605630769001305
POWER_0122,4889,16.421250270314978,107.599582182935,2500.0,22991.92578125,5693.12109375,109818.87893472666,0.1516098774719373
POWER_0078,197,16.41854194456253,107.82262385912207,2500.0,15732.384765625,0.0,132544.95261440502,0.326975617938182
POWER_0025,3494,16.473750270104983,107.513748849945,2500.0,17591.5859375,7647.017578125,1720471.110850535,0.3112601200127473
POWER_0133,3554,16.415416937004984,107.667915515995,1000.0,13753.57421875,0.0,1799296.5402446038,0.9854931585423786
POWER_0105,4656,16.44125027023498,107.675415515965,2500.0,8967.296875,5248.4501953125,204045.94453118448,0.5821087326349613
POWER_0098,240,16.427708604456676,107.60124884967112,2500.0,39935.5703125,13859.9482421875,1819137.913908979,0.7360268088153414
POWER_0071,6333,16.538750269844982,107.609582182895,1000.0,516.47314453125,516.47314453125,1776598.688782583,0.2830557297123242
POWER_0074,4884,16.496250270014983,107.481248850075,1000.0,3071.56396484375,0.0,218681.76973964172,0.679656993956927
POWER_0034,2544,16.466250270134978,107.610415516225,1000.0,19820.05859375,132.04588317871094,1695783.0125455044,0.0344227497611579
POWER_0112,5637,16.40708360370499,107.825415515365,2500.0,17728.9140625,0.0,261426.7905387206,0.9490521929338676
POWER_0021,3784,16.423750270304982,107.539582183175,2500.0,7070.869140625,6115.09130859375,1900401.0939202977,0.9029903728282128
POWER_0047,4003,16.30708360410498,107.763748848945,2500.0,10028.0595703125,426.0090637207031,136252.32385727754,0.220949091984883
POWER_0068,6356,16.452083603524976,107.516248849935,2500.0,11121.4052734375,11109.5205078125,201618.52218026176,0.568708404411007
POWER_0084,1617,16.50625026997498,107.521248849915,1000.0,2543.138427734375,0.0,1764314.7254804892,0.2577750029100111
POWER_0072,4427,16.459791937252213,107.53145718240243,2500.0,29338.3125,29338.3125,209614.40847525367,0.5461426205296417
POWER_0004,3537,16.515416937021214,107.5258321832918,1000.0,3915.19873046875,0.0,1746402.8056728975,0.2661989148603625
POWER_0006,1633,16.272916937574976,107.93791551491502,2500.0,8527.9443359375,2518.4736328125,135067.02342904476,0.2896639743064991
POWER_0108,1668,16.430083604294897,107.5995821828619,2500.0,55072.078125,22820.83984375,153046.30104397715,0.3259013557834431
POWER_0127,6398,16.35375027058497,107.717915515795,2500.0,15853.6767578125,15853.6767578125,218675.99694782638,0.7438827879102689
