bts_id,power_id,distance_km,total_time_hr,total_travel_cost_vnd,total_cost_vnd,note
BTS_00018,POWER_0115,2.0433914801504,0.049929990172953,17340.06036294681,1697340.0603629467,
BTS_00022,POWER_0119,7.901634196090063,0.1642791364639338,27672.570082801056,115835.57008280106,
BTS_00060,POWER_0019,7.978857582741415,0.1651541579675731,26944.03488590839,115107.03488590839,
BTS_00102,POWER_0143,11.217859649073672,0.2306333428227387,35741.93880173313,123904.93880173314,
BTS_00149,POWER_0022,13.73645350276542,0.2865599190434969,49435.88178966515,137598.88178966515,
BTS_00213,POWER_0050,9.335491267439892,0.2359583300315758,89951.20587595199,1769951.205875952,
BTS_00240,POWER_0057,6.160884183643896,0.1258676054846028,18539.709167838795,1698539.7091678388,
BTS_00245,POWER_0065,4.527414051371621,0.0945926075509206,16491.901606933057,104654.90160693305,
BTS_00325,POWER_0081,48.54918368835894,0.9709836737671788,117540.12892971112,1797540.1289297112,"fallback_no_path: No path between (107.231027, 16.272654) and (107.65266, 16.113822)."
BTS_00333,POWER_0056,8.461448676479876,0.1692289735295974,20485.61258516179,108648.61258516178,
BTS_00367,POWER_0128,10.968607027364497,0.2232235062791355,31822.48646620467,119985.48646620467,
BTS_00416,POWER_0086,5.165957907003846,0.1200630748147268,35405.09642027182,1715405.0964202718,
BTS_00449,POWER_0087,15.771823095333124,0.319287827638508,43451.32536760237,1723451.3253676023,
BTS_00575,POWER_0060,11.819113373890842,0.2516706109254904,49522.17574286139,137685.1757428614,
BTS_00738,POWER_0100,7.916462371603152,0.1661042223979049,29798.791331028297,117961.7913310283,
BTS_00757,POWER_0035,25.23153991481265,0.5297326784023801,95414.80811432908,183577.80811432906,
BTS_00852,POWER_0046,25.514984717540955,0.5680412376374444,140737.21386338788,1820737.213863388,
BTS_00976,POWER_0102,3.709388041881664,0.075853322606423,11258.352450119906,99421.35245011991,
BTS_01019,POWER_0142,48.25330963559415,1.0453519655130676,226618.11788709383,1906618.117887094,
BTS_01060,POWER_0015,8.97345120626452,0.1917811693762039,38562.59629426681,1718562.5962942669,
BTS_01216,POWER_0079,4.186686822778075,0.0870269224628666,14639.765452856394,1694639.7654528564,
BTS_01247,POWER_0008,19.729418182442043,0.4031834507135104,59520.11834856146,1739520.1183485615,
BTS_01256,POWER_0006,7.7247218057851486,0.1549821558446988,19368.9361767295,107531.9361767295,
BTS_01279,POWER_0144,25.42593924173049,0.5530048025320432,122394.11745392506,1802394.117453925,
BTS_01502,POWER_0073,3.883713194546408,0.100947665427559,41230.07141452241,1721230.0714145224,
BTS_01514,POWER_0009,22.51960841422386,0.4680421004596741,78658.21358279801,1758658.213582798,
BTS_01795,POWER_0010,5.444442122181019,0.1088888424436203,13181.280927385622,1693181.2809273857,
BTS_01837,POWER_0121,6.3548916756493465,0.1421104553400169,35915.94601151941,124078.94601151941,
BTS_01970,POWER_0004,8.44729713980717,0.1812580880470568,37288.74960705426,1717288.7496070543,
BTS_01973,POWER_0045,1.45866147126366,0.0291732294252731,3531.4961935857027,91694.4961935857,
BTS_02006,POWER_0120,8.857123342378708,0.1818679097178868,27905.812157704127,1707905.812157704,
BTS_02066,POWER_0133,4.626986984026825,0.1088453014815665,33500.74993308762,1713500.7499330877,
BTS_02084,POWER_0001,23.959634819435784,0.4906970077586725,73740.18730474143,1753740.1873047415,
BTS_02159,POWER_0042,9.09995161403664,0.1959889343976678,41163.2665395113,129326.2665395113,
BTS_02188,POWER_0029,4.951923028069142,0.1153440223624128,34287.43719761113,1714287.4371976112,
BTS_02200,POWER_0103,30.269370938954417,0.6523831491459776,137552.46266095983,1817552.46266096,
BTS_02270,POWER_0058,11.67387656656504,0.2373288970631463,33529.9811400586,121692.9811400586,
BTS_02281,POWER_0024,8.539595271691413,0.177382775205099,29688.113090596024,117851.11309059602,
BTS_02283,POWER_0072,11.381634514889528,0.2357559650927377,38664.47076001572,126827.47076001571,
BTS_02329,POWER_0061,3.756771933237749,0.0777853604764798,12719.2268773818,1692719.2268773818,
BTS_02390,POWER_0131,19.46922039313529,0.4126595505346455,78965.7857110591,167128.7857110591,
BTS_02429,POWER_0064,34.73773832711746,0.7185196424074274,116601.40285657892,204764.40285657893,
BTS_02431,POWER_0040,2.7224816547969617,0.0600192859502515,14208.01593606358,1694208.0159360636,
BTS_02467,POWER_0075,4.195537588417145,0.0839107517683429,10157.61731932572,1690157.6173193257,
BTS_02470,POWER_0090,7.282299638788538,0.1473115545445605,19908.55947421023,108071.55947421023,
BTS_02495,POWER_0130,6.229095522654787,0.1254234150185651,16231.762508854445,1696231.7625088545,
BTS_02712,POWER_0021,4.817390935967875,0.0963478187193575,11663.157002869591,1691663.1570028695,
BTS_02759,POWER_0106,13.61671574021772,0.3065856410251427,79806.97633439463,1759806.9763343947,
BTS_02822,POWER_0150,48.755807115593306,0.9751161423118662,118040.37512196274,1798040.3751219627,"fallback_no_path: No path between (107.231027, 16.272654) and (107.657988, 16.11991)."
BTS_02862,POWER_0089,6.97853115707597,0.1778016072409106,69177.93877586027,1749177.9387758602,
BTS_02881,POWER_0099,20.042770922574707,0.4089812707334239,59637.06267880233,1739637.0626788023,
BTS_02936,POWER_0033,9.629717133913182,0.1969151538449586,29222.950788138383,117385.95078813838,
BTS_02937,POWER_0082,9.368174014454029,0.1890290420578703,24958.571120558256,113121.57112055825,
BTS_02953,POWER_0017,27.757714261281343,0.5728042174008242,91339.94352830562,179502.94352830562,
BTS_03050,POWER_0031,15.55520572124102,0.3206023257230711,50649.19228473504,138812.19228473504,
BTS_03053,POWER_0002,10.71136376430166,0.2186111300082472,31927.889036319462,120090.88903631947,
BTS_03055,POWER_0028,21.038394957859463,0.4490163577206093,89566.06752988038,177729.06752988038,
BTS_03164,POWER_0092,29.62921661695693,0.6533740439307493,154866.48967905375,243029.48967905375,
BTS_03181,POWER_0005,13.609615277530596,0.28261080573954,47197.35084256444,135360.35084256442,
BTS_03215,POWER_0047,6.891928156432595,0.1378385631286519,16685.72079978418,104848.72079978418,
BTS_03239,POWER_0101,8.628452544861458,0.1961834237148326,53183.62828636976,1733183.6282863698,
BTS_03310,POWER_0125,12.601149218958003,0.25202298437916,30508.045477477277,1710508.0454774774,"fallback_no_path: No path between (107.231027, 16.272654) and (107.345417, 16.299322)."
BTS_03430,POWER_0011,6.9902081935236735,0.1414697256392632,19201.39071199004,107364.39071199004,
BTS_03436,POWER_0051,4.7895332639959225,0.0984405870916433,15219.59641500685,103382.59641500685,
BTS_03481,POWER_0111,34.99875601731142,0.6999751203462284,84733.83035770133,172896.83035770134,"fallback_no_path: No path between (107.514421, 16.428306) and (107.220889, 16.284869)."
BTS_03484,POWER_0123,11.336513273969905,0.2289703568290468,30509.71846513988,1710509.7184651399,
BTS_03494,POWER_0084,15.451001433154929,0.3112601200127473,40471.110850535166,1720471.110850535,
BTS_03528,POWER_0116,32.44815931492008,0.6666131184735989,102695.75786869414,190858.75786869414,
BTS_03531,POWER_0074,3.2353887293765684,0.0675818086786586,11763.414071181309,99926.41407118131,
BTS_03563,POWER_0068,8.320074007273899,0.1697846907249792,24770.025924139023,112933.02592413902,
BTS_03616,POWER_0014,11.746117732469092,0.246428606002995,44173.272633243614,132336.2726332436,
BTS_03653,POWER_0069,6.455113872728675,0.1291022774545735,15628.170428711526,1695628.1704287115,
BTS_03742,POWER_0023,2.746324504922101,0.0639196640261547,18947.555953411487,1698947.5559534114,
BTS_03767,POWER_0030,40.96287546256681,0.8192575092513361,99173.27743568804,187336.27743568804,"fallback_no_path: No path between (107.514421, 16.428306) and (107.3604, 16.086528)."
BTS_03798,POWER_0137,41.61134747901956,0.8562419813277565,133584.87152301543,221747.87152301543,
BTS_03951,POWER_0097,20.256219820339243,0.4160824163858282,64026.947238127,1744026.947238127,
BTS_03991,POWER_0034,8.917233380186756,0.1856707822210691,31607.8744015256,1711607.8744015256,
BTS_04058,POWER_0109,15.291437878889084,0.3170394338548452,52352.46742252253,1732352.4674225226,
BTS_04083,POWER_0094,4.73427793747468,0.0963511205182833,13739.664828924046,101902.66482892404,
BTS_04131,POWER_0122,8.58030347560489,0.2002836815304328,59991.258534433146,148154.25853443315,
BTS_04230,POWER_0026,7.14556129184851,0.1469555523604583,22830.57387335078,110993.57387335078,
BTS_04233,POWER_0107,14.65613928523585,0.3026209970029677,48472.505123880415,136635.5051238804,
BTS_04252,POWER_0067,4.594106117454842,0.0924954806071761,11961.36702501829,1691961.3670250182,
BTS_04253,POWER_0091,6.151290629304643,0.1385284132898044,36093.08476663789,1716093.084766638,
BTS_04337,POWER_0113,6.845008710657681,0.1369001742131536,16572.1263521186,104735.1263521186,
BTS_04374,POWER_0132,5.116069122490022,0.1246152105840483,42874.060385407975,131037.06038540797,
BTS_04382,POWER_0110,21.250956941323956,0.4537391408196972,90725.54760129872,178888.54760129872,
BTS_04438,POWER_0076,26.152833953969317,0.5838463906709969,146449.98428445213,234612.98428445213,
BTS_04447,POWER_0139,30.35885152895728,0.6332245010899826,109121.43574238286,197284.43574238286,
BTS_04523,POWER_0127,18.943928735254467,0.4442614096297425,135278.1429445935,223441.1429445935,
BTS_04569,POWER_0135,16.97276337553815,0.3411208292795527,43369.68220528824,131532.68220528823,
BTS_04578,POWER_0032,21.717687412979657,0.4389299457826492,58837.81508620034,147000.81508620034,
BTS_04593,POWER_0071,6.49355259440915,0.1616557031298719,59188.13723365126,1739188.1372336512,
BTS_04629,POWER_0136,20.150696478830003,0.4269202127418884,81478.7874879435,169641.78748794348,
BTS_04651,POWER_0052,18.42859336884878,0.3983802725744,85380.89596562067,173543.89596562067,
BTS_04703,POWER_0041,13.88905171444131,0.2953447028116184,57645.212244641385,1737645.2122446415,
BTS_04705,POWER_0016,5.377529091459672,0.1186740176822726,28231.067357350246,116394.06735735024,
BTS_04723,POWER_0088,25.361384037483106,0.5311339639149507,94094.13631415625,1774094.1363141562,
BTS_04760,POWER_0140,2.728412661828642,0.0669192457452982,23496.15462083329,1703496.1546208332,
BTS_04802,POWER_0048,6.10453697944722,0.1220907395889444,14779.405318661691,102942.4053186617,
BTS_04824,POWER_0044,45.589974592263246,0.9117994918452648,110375.72796021627,1790375.7279602163,"fallback_no_path: No path between (107.231027, 16.272654) and (107.340277, 16.668037)."
BTS_04837,POWER_0066,12.604157465695897,0.2613491259783704,43186.95809228264,1723186.9580922825,
BTS_04853,POWER_0036,2.028597521723847,0.0421410017053847,7057.087799388626,95220.08779938862,
BTS_05033,POWER_0012,7.732923350994731,0.1564022598478473,21106.52760309092,109269.52760309092,
BTS_05090,POWER_0117,2.647996868259138,0.0619531112928954,18709.49956991168,106872.49956991168,
BTS_05127,POWER_0063,13.19309914820078,0.2677133486958613,37208.09896928199,125371.098969282,
BTS_05136,POWER_0134,26.843681278221023,0.5751618166445827,117350.7458086517,205513.7458086517,
BTS_05143,POWER_0114,13.139420174198426,0.278077758699481,52720.09163313293,140883.09163313292,
BTS_05148,POWER_0013,9.86618994623088,0.2006169849319228,28390.141435952668,1708390.1414359526,
BTS_05202,POWER_0093,4.450884210096045,0.1125593293883263,42970.057250413294,1722970.0572504133,
BTS_05222,POWER_0020,54.43148166962544,1.0886296333925087,131781.4819369879,1811781.481936988,"fallback_no_path: No path between (107.231027, 16.272654) and (107.724127, 16.151914)."
BTS_05268,POWER_0118,38.62999247939664,0.7936845341319521,122359.4758309294,210522.4758309294,
BTS_05448,POWER_0146,25.530793477783053,0.5128559609053098,64874.81790595065,153037.81790595065,
BTS_05570,POWER_0104,12.82243941358126,0.2617040680870932,38230.62632789395,1718230.626327894,
BTS_05577,POWER_0025,10.828740231311878,0.2316919793962369,46890.349565657765,1726890.3495656578,
BTS_05590,POWER_0112,14.405484400775933,0.3085126268557853,62778.34964747122,150941.34964747122,
BTS_05616,POWER_0147,4.349498182822211,0.1052155650311861,35454.67327001053,123617.67327001053,
BTS_05623,POWER_0043,4.674886157964285,0.0934977231592857,11318.14543507143,99481.14543507143,
BTS_05694,POWER_0080,30.35144199871784,0.6432272787216581,122985.39116096872,1802985.3911609687,
BTS_05852,POWER_0124,3.0347282689109294,0.0606945653782185,7347.236861573827,95510.23686157382,
BTS_05925,POWER_0007,12.120658877387742,0.2424131775477548,29344.75307157032,1709344.7530715703,"fallback_no_path: No path between (107.362479, 16.582124) and (107.343317, 16.689473)."
BTS_05990,POWER_0053,10.074003878990412,0.2032686752808555,26835.679405216026,1706835.6794052161,
BTS_06057,POWER_0027,11.547106884658149,0.2391903916469409,39236.00255754064,127399.00255754063,
BTS_06138,POWER_0070,44.63185062984594,0.9258706175546528,153504.47181358107,241667.47181358107,
BTS_06150,POWER_0054,7.217672532395423,0.1470033724596333,21098.24938060564,1701098.2493806055,
BTS_06201,POWER_0083,3.68828855955708,0.0754313329599314,11207.269492913016,99370.26949291301,
BTS_06268,POWER_0095,33.21403147948811,0.7004790683370641,129915.8709565179,1809915.870956518,
BTS_06298,POWER_0003,6.530446396202758,0.1393381596962946,27748.16174249205,115911.16174249206,
BTS_06319,POWER_0085,46.334979588731365,0.9988734307543058,210880.31459141773,299043.31459141773,
BTS_06335,POWER_0148,55.17647619000796,1.1035295238001592,133585.1528810719,221748.1528810719,"fallback_no_path: No path between (107.83051, 16.288345) and (107.35375, 16.099982)."
BTS_06341,POWER_0145,42.64116367137243,0.89399143339798,159535.76590091802,1839535.765900918,
BTS_06350,POWER_0138,33.82869756637263,0.6765739513274527,81901.05726595479,170064.0572659548,"fallback_no_path: No path between (107.33332, 16.527165) and (107.261095, 16.228463)."
BTS_06351,POWER_0149,1.0803376298151193,0.0216067525963023,2615.5542616576577,1682615.5542616576,
BTS_06361,POWER_0077,35.653377595127694,0.7261556348589647,104217.23113298006,192380.23113298006,
BTS_06373,POWER_0018,7.153022719121747,0.1477265601969716,23698.94883301644,1703698.9488330164,
BTS_06377,POWER_0055,9.390759092747036,0.2074726993950589,49618.0394219528,137781.0394219528,
BTS_06378,POWER_0096,9.348934809936503,0.1942039918015541,32515.17185984872,120678.17185984872,
BTS_06381,POWER_0062,8.249150286748385,0.1940903278247742,59777.166604766506,147940.1666047665,
BTS_06382,POWER_0038,10.319961452919914,0.2086393204080471,28048.59300365043,116211.59300365043,
BTS_06399,POWER_0037,3.683125816780701,0.073662516335614,8917.041451153274,97080.04145115327,
BTS_06404,POWER_0129,37.91404658002256,0.8331070245472555,194119.866197306,282282.86619730596,
BTS_06422,POWER_0039,1.573615840240113,0.034859924720647,8442.509175319938,1688442.50917532,
BTS_06424,POWER_0105,35.306666223524786,0.728616053549135,116225.41527239198,204388.41527239198,
BTS_06433,POWER_0059,7.712474408442747,0.1637180461982016,31620.97485531009,119783.9748553101,
