power_id,bts_id,latitude,longitude,coverage_radius_m,pop_in_buffer_total,pop_in_buffer_in_outage,total_cost_vnd,deployment_time_hr
POWER_0055,25,16.530416936961565,107.55333218318246,1000.0,5201.71728515625,5201.71728515625,325646.6331773456,1.0204809512959536
POWER_0126,78,16.44479193772243,107.59874884968104,1000.0,20600.609375,19991.888671875,148999.65693662112,0.3178733009787218
POWER_0065,197,16.41854194456253,107.82262385912207,2500.0,15732.384765625,0.0,196515.8317922395,0.6539805081346788
POWER_0063,212,16.36916693719765,107.11708218480932,1000.0,743.13623046875,743.13623046875,243000.77427290732,1.2790946570370605
POWER_0073,240,16.427708604456676,107.60124884967112,2500.0,39935.5703125,13859.9482421875,1784416.9872041408,0.8625751116863803
POWER_0131,243,16.465625276324985,107.54267741829489,1000.0,8202.162109375,8202.162109375,135729.10724782234,0.190041825594985
POWER_0045,256,16.469166936797414,107.57791551628723,2500.0,184633.125,176025.9375,165372.7473338967,0.386337558050792
POWER_0089,321,16.198750271204982,107.271248850915,2500.0,1290.418212890625,321.1423645019531,1789019.0116866673,0.9005918356724691
POWER_0062,325,16.11402804974811,107.65430440454682,2500.0,3491.72900390625,1474.90625,343162.6049972031,1.3241260592667496
POWER_0106,416,16.516250270351108,107.30333218417636,1000.0,666.9680786132812,666.9680786132812,1767308.8940356895,0.3085319815752732
POWER_0066,449,16.373750270504978,107.813748848745,2500.0,5677.81884765625,1593.945068359375,1881493.4124373484,0.986916734096944
POWER_0014,479,16.322916937374973,107.779582182215,2500.0,14782.138671875,3574.398193359375,167735.2473756711,0.4281357827748274
POWER_0117,583,16.38583360379744,107.48458218332968,2500.0,2139.228759765625,832.8909301757812,213640.39601341943,0.6360667461937508
POWER_0104,674,16.25875027096498,107.204582184515,2500.0,3979.490234375,3162.1484375,1795590.013465063,0.9548740242766076
POWER_0022,678,16.51041693662498,107.556248849775,2500.0,24428.994140625,22464.916015625,185086.07042581664,0.5517245175307713
POWER_0124,708,16.321250270714984,107.787915515515,2500.0,11759.3125,1777.2679443359375,327961.03467368736,1.0330697558985698
POWER_0096,738,16.413750270344984,107.755415515645,2500.0,8281.568359375,4560.1806640625,117961.7913310283,0.1661042223979049
POWER_0038,830,16.199583604534983,107.711248849155,2500.0,2913.8046875,2526.962890625,368713.58435582445,1.3250461626724337
POWER_0122,894,16.505416936644977,107.428748850285,1000.0,1251.948486328125,1251.948486328125,194102.87912244583,0.575602109112575
POWER_0097,976,16.430416937242374,107.68916551672434,2500.0,16064.236328125,8757.5,1848567.6649121076,0.9343628848415336
POWER_0004,1033,16.440416936924386,107.78458218199977,2500.0,14852.8583984375,7.049448013305664,1774806.5343967217,0.5420763122586616
