cow_id,site_id,latitude,longitude,coverage_radius_m,pop_in_buffer_total,pop_in_buffer_in_outage,total_cost_vnd,deployment_time_hr
COW_001,497,16.477445974989877,107.55631632644614,4000.0,197642.109375,185951.0625,20004020.75975808,0.5349631283311495
COW_002,87,16.379021978864632,107.59950022293981,2000.0,2912.977294921875,2399.29736328125,15027531.256683882,0.717638392758
COW_005,1,16.463877801849392,107.61094609790287,4000.0,258452.234375,183984.15625,20002151.234710906,0.5187063887904931
COW_006,627,16.3991021100887,107.68974973072639,2000.0,15461.3740234375,8168.580078125,15026915.255199023,0.7127688158
COW_007,826,16.3630766105017,107.71079615015435,2000.0,9846.818359375,8981.9638671875,15036838.229323998,0.791211299
COW_011,685,16.52288457534139,107.3277044143342,4000.0,5771.1328125,3896.912109375,20001096.924538657,0.5095384742491844
COW_012,952,16.503108325424243,107.43259317635669,2000.0,6186.7412109375,6185.66015625,15025492.475334372,0.701521544145
COW_013,112,16.42734520865633,107.50645514593869,4000.0,8677.794921875,8529.212890625,20003042.576162755,0.526457184023967
COW_014,75,16.356657137132824,107.53689050973384,2000.0,2143.37060546875,1881.051025390625,15017849.125350514,0.641099805142
COW_016,61,16.596567414121292,107.34185740206931,4000.0,8724.51171875,5720.822265625,20006297.598386712,0.5547617251018628
COW_020,785,16.26650084178128,107.87009405727433,4000.0,15585.0888671875,14734.060546875,20014918.44005896,0.62972556573
COW_021,852,16.30021763011215,107.98573604459624,4000.0,13091.220703125,6840.0458984375,20037634.098988682,0.82725303468
COW_022,980,16.16533236911698,107.71318938568908,4000.0,15166.3662109375,10829.8544921875,20043240.95300887,0.876008287034
COW_028,782,16.44243976906292,107.7190223276831,4000.0,18155.548828125,9544.337890625,20002657.010667812,0.5231044405896818
COW_029,33,16.675402059219024,107.47187229260574,2000.0,4031.739013671875,3493.7275390625,15084191.893081333,1.16554856191
COW_030,934,16.348646242289746,107.74207347245306,2000.0,11872.921875,10721.2470703125,15024522.761427576,0.693855821562
COW_031,44,16.57683351486967,107.52898372327674,4000.0,29296.6953125,18572.8203125,20005165.013443917,0.5449131603818825
COW_033,31,16.26428801162395,107.23286776629261,4000.0,23008.693359375,21205.349609375,20002208.673321985,0.5192058549737703
COW_023,514,16.132698235151484,107.67321659484031,2000.0,4212.71484375,4212.71484375,15056057.199441655,0.94313991653
COW_018,12,16.532142792810944,107.44581790711622,2000.0,11342.298828125,10865.93359375,15024060.9962436,0.6902055039
COW_008,716,16.6249803805797,107.52225245579608,1000.0,2115.11669921875,1965.6014404296875,10045922.325685263,0.83277047598
