site_id,latitude,longitude,pop,priority_category,priority_weight
I_00000,16.47029529756365,107.6136471732607,70916.37121796608,residential,7.2
I_00001,16.54307699601754,107.42302868795596,54839.70892047882,residential,3.7
I_00002,16.525222492871688,107.69788745226427,39642.32079863548,normal,1.0
I_00003,16.515836760867675,107.5403463401861,25100.291216373444,residential,2.2
I_00004,16.656688703642967,107.37607208281892,24887.164890289307,residential,2.2
I_00005,16.451681291883492,107.54750120385896,20977.621280908585,residential,3.7
I_00006,16.64116487120811,107.50220749145925,18026.75917863846,residential,2.2
I_00007,16.27200691985402,107.86918777982095,15789.73476099968,hospitals,6.0
I_00008,16.24336671854753,107.24873643173031,14810.686609745026,residential,2.2
I_00009,16.453678123288164,107.72269162688701,14678.621614933014,residential,5.7
I_00010,16.56056494026329,107.5980509329411,12214.339841127396,residential,2.2
I_00011,16.229539683333023,108.08061869455622,7436.9346742630005,hospitals,6.0
I_00012,16.16400213273668,107.71855368909458,6727.708566665649,residential,5.2
I_00013,16.341959827475662,107.9184802859248,5451.5687029361725,residential,3.7
I_00014,16.271061290183745,107.97693214880981,4503.953326702118,residential,2.2
I_00015,16.377197473044024,107.85780423927105,3421.6071960926056,normal,1.0
I_00016,16.422083624834766,107.82492428729677,2854.664290189743,normal,1.0
I_00017,16.309745892209996,107.99856078056085,2824.320080280304,residential,2.2
I_00018,16.11904483809083,107.33618474809111,2383.540382385254,residential,4.2
I_00019,16.3976340530451,107.71615582587955,2372.2867946624756,residential,2.2
I_00020,16.508079614985707,107.58032405293073,2051.344082593918,residential,2.2
I_00021,16.394433171027874,107.47895461140105,1937.348690032959,normal,1.0
I_00022,16.512475785883833,107.64231094093402,1444.4340307712555,residential,2.2
I_00023,16.084845127148288,107.36277935163822,1233.3650665283203,residential,2.2
I_00024,16.329752737848807,107.17081529275816,1218.271418094635,residential,2.2
I_00025,16.449701695274097,107.6537783479099,1217.7793786525726,normal,1.0
I_00026,16.36741710908176,107.11825375348778,1129.2613372802734,residential,2.2
I_00027,16.112946559697203,107.39378431141776,1099.0682446956635,residential,2.2
I_00028,16.381875464032195,107.05362258915922,1094.9871518611908,residential,2.2
I_00029,16.32789567791308,107.62057221134103,859.4481875896454,normal,1.0
I_00030,16.294266582321903,107.344818502362,856.4190447330475,residential,2.2
I_00031,16.2682763223868,108.02661582037061,762.1760325431824,normal,1.0
I_00032,16.27131521416889,107.77672619517138,534.2857177257538,normal,1.0
I_00033,16.599111417051517,107.38577662823462,486.01897644996643,residential,3.7
I_00034,16.24050050948012,107.20711789879054,463.349956035614,residential,2.2
I_00035,16.556432003402392,107.31909073106553,430.14347195625305,residential,2.2
I_00036,16.34969083800986,107.44484408831583,420.5379297733307,normal,1.0
I_00037,16.307450888819584,107.38792964140873,388.2982225418091,residential,2.2
I_00038,16.3590002830344,107.047332185144,314.6096405982971,residential,2.2
I_00039,16.222735140989197,108.04368824176464,302.80178666114807,normal,1.0
I_00040,16.72533892155351,107.40377489205156,268.02404284477234,residential,2.2
I_00041,16.142539961336762,107.7572409124631,264.0360291004181,residential,2.2
I_00042,16.607916978959572,107.37105945657636,256.6714379787445,residential,3.7
I_00043,16.460278049975884,107.63833218277996,246.65443444252014,residential,4.7
I_00044,16.249220363157388,107.69047961846881,239.03365349769592,normal,1.0
I_00045,16.10950789021134,107.6506680413165,237.57062935829163,normal,1.0
I_00046,16.396629060679714,107.592915516295,221.03577494621277,normal,1.0
I_00047,16.359497428325504,107.76805919375536,215.76353573799133,normal,1.0
I_00048,16.39497834160309,107.74309095429078,194.00244903564453,residential,2.2
I_00049,16.379464588095786,107.59223099248821,183.31764888763428,normal,1.0
I_00050,16.368639272694526,107.67419329374766,167.31349349021912,normal,1.0
I_00051,16.338333655768515,107.6335405161325,159.4313519001007,normal,1.0
I_00052,16.263389180541495,107.68358218259901,153.80731058120728,normal,1.0
I_00053,16.312161773350958,107.74466030735466,149.88142561912537,residential,3.7
I_00054,16.329107418540897,107.41297504082426,104.20348000526428,residential,2.2
I_00055,16.247992696359752,107.3082185477368,101.58176946640015,normal,1.0
I_00056,16.372194740560193,107.63335996057762,98.69067478179932,normal,1.0
I_00057,16.0845836222628,107.38649394849323,96.64259672164917,residential,2.2
I_00058,16.30240412581656,107.9616975661019,92.7588906288147,residential,2.2
I_00059,16.417083612592595,107.50187384999249,90.89484310150146,normal,1.0
I_00060,16.28958360506044,108.0481238478075,87.93789100646973,normal,1.0
I_00061,16.339236386331432,107.53680440540832,76.86388540267944,normal,1.0
I_00062,16.2659938640486,107.37182577358962,75.62096071243286,residential,2.2
I_00063,16.325625303424516,107.69546759921812,69.36438775062561,normal,1.0
I_00064,16.377916940717117,107.46024885015898,69.09070634841919,normal,1.0
I_00065,16.304479439858408,107.20322801785375,56.5017523765564,residential,2.2
I_00066,16.579821699135856,107.32624885069498,53.952009201049805,residential,2.2
I_00067,16.313541941735767,107.15124885139497,51.579604625701904,normal,1.0
I_00068,16.425000275748705,107.48391551673099,48.943012952804565,normal,1.0
I_00069,16.220833604890736,107.17999885127999,34.78808259963989,residential,2.2
I_00070,16.22184551208648,107.19255837503928,31.72914481163025,residential,2.2
I_00071,16.35361138253639,107.05972107398333,31.144127368927002,residential,2.2
I_00072,16.311458614173798,107.71749884913,27.98268461227417,normal,1.0
I_00073,16.534083603628744,107.308082184101,23.22620415687561,residential,2.2
I_00074,16.531666936989662,107.27249885091,19.691242933273315,residential,2.2
I_00075,16.732750275919287,107.380415517145,19.56231379508972,residential,2.2
I_00076,16.360208610452904,107.58499884965997,18.511445999145508,normal,1.0
I_00077,16.220208609190298,107.7197905157875,18.08169174194336,normal,1.0
I_00078,16.327916948894593,107.7102071824925,16.12478017807007,normal,1.0
I_00079,16.33513916112714,107.73291551573499,15.602477312088013,residential,3.7
I_00080,16.313958637221244,107.08874885164498,15.370233058929443,residential,2.2
I_00081,16.347708622051492,107.687082182585,14.991722822189331,normal,1.0
I_00082,16.6306947143239,107.34902662838167,12.74885606765747,residential,2.2
I_00083,16.314861382245834,107.70430440473834,12.59790587425232,normal,1.0
I_00084,16.445694755608955,107.49735996112165,11.657457113265991,normal,1.0
I_00085,16.328413663047602,107.71006891819134,16.756812948874792,normal,1.0
I_00086,16.246880816241706,107.3085374499215,70.45678132152837,normal,1.0
I_00087,16.330686631356407,107.41374247555342,63.809073567021244,residential,2.2
I_00088,16.378883709961762,107.59170582268104,130.16335945761284,normal,1.0
I_00089,16.314200599492807,107.08683557140033,13.205597198461431,residential,2.2
I_00090,16.328712122994038,107.61904833534341,587.6015599841552,normal,1.0
I_00091,16.45277009921264,107.72127932318567,12823.860205910012,residential,8.7
I_00092,16.262759705580564,107.68417990306592,139.7401959371054,normal,1.0
I_00093,16.327372566170062,107.71031810508221,15.552784417979337,normal,1.0
I_00094,16.36681685523165,107.11920119330884,743.7352076148683,residential,2.2
I_00095,16.35889572171327,107.76991147193988,145.2569620699945,normal,1.0
I_00096,16.445161106805113,107.49735443325933,13.354692421630308,normal,1.0
I_00097,16.36103115536501,107.58377800601,14.569001250906105,normal,1.0
I_00098,16.312524205251552,107.99975442028513,2007.8449385701992,residential,2.2
I_00099,16.266732330628596,107.3719971418708,49.387709240067565,residential,2.2
I_00100,16.27099783451116,107.86760448560742,12044.558400218142,hospitals,6.0
I_00101,16.267815683615847,108.02767294259681,585.7785495247047,normal,1.0
I_00102,16.731619723614607,107.38054994602763,21.15308571484428,residential,2.2
I_00103,16.55575508140209,107.31970240735437,259.5112647530091,residential,2.2
I_00104,16.271643412978456,107.97781989726938,4672.420551834008,residential,2.2
I_00105,16.448862477750875,107.65346913553407,1361.3093593969556,normal,1.0
I_00106,16.523714339582146,107.69898709924004,25297.152786063645,normal,1.0
I_00107,16.352505047562378,107.05852486735924,32.32024506974624,residential,2.2
I_00108,16.38029938351502,107.59252755387256,161.9297872427838,normal,1.0
I_00109,16.460639686000935,107.63768706302537,260.5832642048677,residential,4.7
I_00110,16.471790731816533,107.61398535451268,63560.737821324095,residential,7.2
I_00111,16.5538122582983,107.3199126335699,264.64640603283254,residential,2.2
I_00112,16.559146189804704,107.59909342455845,11055.717057750073,residential,2.2
I_00113,16.57960202724802,107.3266059632665,45.655795464373085,residential,2.2
I_00114,16.314072123917132,107.70504811602211,8.14061491949033,normal,1.0
I_00115,16.270252796580852,107.97643039176623,5214.7608964785595,residential,2.2
I_00116,16.339737834662962,107.53796259206126,86.30863940389173,normal,1.0
I_00117,16.313428877017472,107.0892621190781,17.453443730739032,residential,2.2
I_00118,16.361580472586454,107.58517440295392,21.059635024790012,normal,1.0
I_00119,16.083881569168923,107.38616628634661,71.20250562832415,residential,2.2
I_00120,16.423357358454904,107.82463233462595,3187.0566898114894,normal,1.0
I_00121,16.451686405340137,107.54726661672557,17840.346734068684,residential,3.7
I_00122,16.313563120769665,107.08845971478853,12.33567415658017,residential,2.2
I_00123,16.449540409562427,107.65418239876675,1109.7311397899944,normal,1.0
I_00124,16.450738235075036,107.5489051625976,24817.978667880885,residential,3.7
I_00125,16.32370653220922,107.69544108534267,53.4733045498225,normal,1.0
I_00126,16.249322710839945,107.69004700918828,215.5145141740463,normal,1.0
I_00127,16.542884635052758,107.42333023529831,37671.42091801891,residential,3.7
I_00128,16.22117342585492,107.17999147113005,25.925232827196137,residential,2.2
