site_id,i_ref,latitude,longitude,pop,priority_category,priority_weight,slope,dist_to_road_m,in_water
J_00000,I_00000,16.468165299999995,107.58545139999998,265018.05760860443,residential,4.7,0.0,1.0393358975682817e-09,False
J_00001,I_00000,16.4677869,107.58330639999998,264887.37184143066,residential,4.7,0.0,1.142496740855519e-09,False
J_00002,I_00000,16.468559,107.58276439999999,264601.26998233795,residential,4.7,0.0,9.958425889550028e-10,False
J_00003,I_00000,16.4686773,107.5827577,264152.5735864639,residential,4.7,0.0,0.0,False
J_00004,I_00000,16.4685998,107.58912439999999,259329.7650899887,residential,4.7,0.0,0.0,False
J_00005,I_00000,16.4715317,107.5876065,258468.65843391418,residential,4.7,0.0,0.0,False
J_00006,I_00000,16.471572,107.58752279999999,258072.9810962677,residential,4.7,0.0,0.0,False
J_00007,I_00000,16.471275500000004,107.5801291,250243.79380702972,residential,4.7,0.0,0.0,False
J_00008,I_00000,16.473476299999998,107.5835237,249770.47067165375,residential,4.7,0.0,0.0,False
J_00009,I_00000,16.45979859999999,107.5863427,246769.28498268127,residential,4.7,0.0,4.2914099408535855e-10,False
J_00010,I_00000,16.4566862,107.5833919,239702.25586605072,residential,4.7,0.0,0.0,False
J_00011,I_00000,16.4567361,107.5852417,238696.00297546387,residential,4.7,0.0,0.0,False
J_00012,I_00000,16.4646679,107.59354759999998,236850.3083267212,residential,4.7,0.0,0.0,False
J_00013,I_00000,16.474038099999994,107.5794837,236776.95865917206,residential,4.7,0.0,5.873515505698414e-10,False
J_00014,I_00000,16.4665149,107.59493030000002,235106.26792526245,residential,4.7,0.0,1.862645149230957e-09,False
J_00015,I_00000,16.4702451,107.59597779999999,233346.37075042725,residential,4.7,0.0,7.520910958154482e-10,False
J_00016,I_00000,16.470380100000003,107.5960167,232724.41564178467,residential,4.7,0.0,1.4168449558642113e-10,False
J_00017,I_00000,16.473638,107.5776332,230730.51892089844,residential,4.7,0.0,0.0,False
J_00018,I_00000,16.457240799999997,107.5908892,227972.0710363388,residential,4.7,0.0,2.314229293218181e-10,False
J_00019,I_00000,16.477836399999997,107.58116689999999,227299.01155281067,residential,4.7,0.0,9.71116403802275e-10,False
J_00020,I_00000,16.477419099999995,107.5798914,225818.36724948883,residential,4.7,0.0,1.9744720127501458e-10,False
J_00021,I_00000,16.468012799999997,107.5737467,224082.42754936218,residential,4.7,0.0,1.7805941463843673e-10,False
J_00022,I_00000,16.467964,107.5736863,223950.55946922302,residential,4.7,0.0,0.0,False
J_00023,I_00000,16.4784163,107.5888012,222422.86438465118,residential,4.7,0.0,0.0,False
J_00024,I_00000,16.465735399999993,107.5982054,218972.33033943176,residential,4.7,0.0,1.0667968889175721e-10,False
J_00025,I_00000,16.464769599999997,107.59885649999998,215519.71219348907,residential,4.7,0.0,1.877140660839749e-09,False
J_00026,I_00000,16.4567742,107.59467689999998,213626.1535835266,residential,4.7,0.0,0.0,False
J_00027,I_00000,16.456603199999993,107.59467599999999,212865.4732837677,residential,4.7,0.0,1.8626194390430791e-09,False
J_00028,I_00000,16.4573107,107.57394809999998,212693.26263141632,residential,4.7,0.0,8.712717611424849e-10,False
J_00029,I_00000,16.454031699999998,107.5770069,212000.3105211258,residential,4.7,0.0,0.0,False
J_00030,I_00000,16.475754200000004,107.5969195,211661.97230052948,residential,4.7,0.0,4.656612873077393e-10,False
J_00031,I_00000,16.4728063,107.57335219999999,210820.2429485321,residential,4.7,0.0,1.4604778039667161e-09,False
J_00032,I_00000,16.457076899999993,107.5738196,210799.16320037842,residential,4.7,0.0,8.132879987183622e-11,False
J_00033,I_00000,16.475936299999997,107.59704770000002,210397.16757583618,residential,4.7,0.0,2.131887906617238e-10,False
J_00034,I_00000,16.468821199999997,107.6004679,209949.3534231186,residential,4.7,0.0,0.0,False
J_00035,I_00000,16.469826599999994,107.60061459999999,209394.4246377945,residential,4.7,0.0,8.395342153732482e-10,False
J_00036,I_00000,16.451391599999997,107.58018759999999,206059.48631191254,residential,4.7,0.0,1.859773690646275e-09,False
J_00037,I_00000,16.4580215,107.59821329999998,203913.75498867035,residential,4.7,0.0,0.0,False
J_00038,I_00000,16.477137000000006,107.5970386,203809.74376773834,residential,4.7,0.0,9.225584280919067e-10,False
J_00039,I_00000,16.4670796,107.5697916,203343.4214630127,residential,4.7,0.0,0.0,False
J_00040,I_00000,16.454522100000002,107.5957109,200545.28912353516,residential,4.7,0.0,0.0,False
J_00041,I_00000,16.4719369,107.5710294,199927.7842683792,residential,4.7,0.0,0.0,False
J_00042,I_00000,16.482654600000004,107.58315859999999,199338.84398174286,residential,4.7,0.0,1.4156491249436862e-10,False
J_00043,I_00000,16.4718977,107.60259479999999,198705.38154792786,residential,4.7,0.0,0.0,False
J_00044,I_00000,16.4536012,107.5954145,197528.9293241501,residential,4.7,0.0,0.0,False
J_00045,I_00000,16.4832399,107.57957999999999,194604.0165977478,residential,4.7,0.0,0.0,False
J_00046,I_00000,16.473031399999996,107.57046789999998,194029.33998775482,residential,4.7,0.0,1.1152367137777773e-09,False
J_00047,I_00000,16.4504372,107.59105589999999,192874.38699913025,residential,4.7,0.0,0.0,False
J_00048,I_00000,16.4551968,107.59931929999999,191976.74708652496,residential,4.7,0.0,0.0,False
J_00049,I_00000,16.4829534,107.58954959999998,191114.095287323,residential,4.7,0.0,0.0,False
J_00050,I_00000,16.453550900000003,107.59866749999999,189722.36903858185,residential,4.7,0.0,1.8803254002024256e-09,False
J_00051,I_00000,16.4836674,107.5787303,189451.92593860626,residential,4.7,0.0,0.0,False
J_00052,I_00000,16.469065,107.6047434,188228.91841602325,residential,4.7,0.0,0.0,False
J_00053,I_00000,16.448279600000003,107.58405610000001,188038.86845111847,residential,4.7,0.0,8.655081577975444e-11,False
J_00054,I_00000,16.456020900000002,107.6021414,184924.73826694489,residential,4.7,0.0,0.0,False
J_00055,I_00000,16.455448199999996,107.6022609,183009.56585884094,residential,4.7,0.0,2.3283064365386963e-10,False
J_00056,I_00000,16.479646500000005,107.57275939999998,181875.62291812897,residential,4.7,0.0,0.0,False
J_00057,I_00000,16.472977199999995,107.5684052,180790.3090620041,residential,4.7,0.0,0.0,False
J_00058,I_00000,16.4730272,107.56836619999999,180622.08593273163,residential,4.7,0.0,0.0,False
J_00059,I_00000,16.4659379,107.6066007,175392.1041021347,residential,4.7,0.0,0.0,False
J_00060,I_00000,16.475321500000003,107.56800949999999,172091.10739803314,residential,4.7,0.0,1.3144088040355243e-09,False
J_00061,I_00000,16.4453931,107.58536229999999,171631.62845802307,residential,4.7,0.0,0.0,False
J_00062,I_00000,16.4878308,107.58067330000002,170628.39428806305,residential,4.7,0.0,1.862645149230957e-09,False
J_00063,I_00000,16.449597899999997,107.6039121,170274.4970588684,residential,4.7,0.0,0.0,False
J_00064,I_00000,16.487982500000005,107.58027369999999,169610.57633781433,residential,4.7,0.0,7.785160050979557e-10,False
J_00065,I_00000,16.4880777,107.5805553,169452.4706287384,residential,4.7,0.0,0.0,False
J_00066,I_00000,16.4675723,107.5650527,169367.580452919,residential,4.7,0.0,0.0,False
J_00067,I_00000,16.490109700000005,107.58161689999999,161135.7029762268,residential,4.7,0.0,0.0,False
J_00068,I_00000,16.490793899999996,107.58400449999999,158488.62859535217,residential,4.7,0.0,3.647562978452887e-11,False
J_00069,I_00000,16.4488504,107.60777889999999,158016.66089630127,residential,4.7,0.0,0.0,False
J_00070,I_00000,16.442326199999993,107.6017164,156992.7073917389,residential,4.7,0.0,2.6040340324125207e-10,False
J_00071,I_00000,16.4421354,107.6015496,156438.28777980804,residential,4.7,0.0,0.0,False
J_00072,I_00000,16.4424445,107.58282289999998,152093.95508003235,residential,4.7,0.0,0.0,False
J_00073,I_00000,16.4697255,107.61163199999999,150954.97621631622,residential,4.7,0.0,0.0,False
J_00074,I_00000,16.473448999999995,107.56223869999998,150164.49065685272,residential,4.7,0.0,1.877140660839749e-09,False
J_00075,I_00000,16.4658718,107.5612175,148454.91635417938,residential,4.7,0.0,0.0,False
J_00076,I_00000,16.4790819,107.6090463,147385.5111837387,residential,4.7,0.0,0.0,False
J_00077,I_00000,16.4805741,107.56609859999999,146984.74723052979,residential,4.7,0.0,1.6593507729382731e-09,False
J_00078,I_00000,16.460610800000005,107.6128529,140462.90746307373,residential,4.7,0.0,2.9108286245849573e-12,False
J_00079,I_00000,16.4769189,107.6116477,140047.5346698761,residential,4.7,0.0,0.0,False
J_00080,I_00000,16.4770644,107.61164449999998,139907.4373550415,residential,4.7,0.0,1.4283103869780174e-11,False
J_00081,I_00000,16.483014799999992,107.56326379999999,139590.1594657898,residential,4.7,0.0,5.160696311919337e-10,False
J_00082,I_00000,16.494461800000003,107.5756559,139224.5648574829,residential,4.7,0.0,0.0,False
J_00083,I_00000,16.469889499999997,107.55955449999999,139216.77603149414,residential,4.7,0.0,0.0,False
J_00084,I_00000,16.437911699999997,107.60087819999998,138379.8925113678,residential,4.7,0.0,1.574981668452879e-10,False
J_00085,I_00000,16.4776579,107.6115586,137657.4981250763,residential,4.7,0.0,0.0,False
J_00086,I_00000,16.4703318,107.55926489999999,137615.5596485138,residential,4.7,0.0,1.0176963201169882e-09,False
J_00087,I_00000,16.470211000000003,107.55907179999998,136997.83565711975,residential,4.7,0.0,0.0,False
J_00088,I_00000,16.4700489,107.55882769999998,136613.83011054993,residential,4.7,0.0,1.6731539407026076e-09,False
J_00089,I_00000,16.4955856,107.5759148,134803.10224819183,residential,4.7,0.0,0.0,False
J_00090,I_00000,16.481686599999996,107.6099036,131909.9793357849,residential,4.7,0.0,2.9230292213477265e-12,False
J_00091,I_00000,16.481687699999995,107.6100296,131643.30736351013,residential,4.7,0.0,2.3110104610600705e-12,False
J_00092,I_00000,16.481046299999996,107.5606568,130880.03323554993,residential,4.7,0.0,1.8192960814343533e-10,False
J_00093,I_00000,16.455927799999998,107.6152923,128464.04142284393,residential,4.7,0.0,0.0,False
J_00094,I_00000,16.4559588,107.55936949999999,126131.18132686615,residential,4.7,0.0,1.6846040212251232e-09,False
J_00095,I_00000,16.441687899999998,107.60859889999999,123685.95665740967,residential,4.7,0.0,0.0,False
J_00096,I_00000,16.459688499999995,107.61669519999998,123119.73145389557,residential,4.7,0.0,4.6564055575395346e-10,False
J_00097,I_00000,16.4864583,107.5608347,122172.39637374878,residential,4.7,0.0,0.0,False
J_00098,I_00000,16.4698092,107.61788729999999,117595.46199321747,residential,4.7,0.0,1.902643920511144e-11,False
J_00099,I_00000,16.4878142,107.6074825,116297.96091747284,residential,4.7,0.0,0.0,False
J_00100,I_00000,16.4637186,107.61848009999999,114660.52070522308,residential,4.7,0.0,1.6854582679883757e-11,False
J_00101,I_00000,16.46372,107.6186243,113692.59419250488,residential,4.7,0.0,0.0,False
J_00102,I_00000,16.4840357,107.61254129999999,110634.9110326767,residential,4.7,0.0,0.0,False
J_00103,I_00000,16.480774499999995,107.553397,109507.02252483368,residential,4.7,0.0,2.3283064365386963e-10,False
J_00104,I_00000,16.4981798,107.5951288,109104.642537117,residential,4.7,0.0,0.0,False
J_00105,I_00000,16.4870715,107.61027949999999,107665.07260131836,residential,4.7,0.0,1.685481593129615e-09,False
J_00106,I_00000,16.4575755,107.55414339999999,104809.51470470428,residential,4.7,0.0,0.0,False
J_00107,I_00000,16.4998797,107.59449479999999,103476.12088775635,residential,4.7,0.0,1.0030778087012427e-09,False
J_00108,I_00000,16.48783649999999,107.6109445,102657.36543941498,residential,4.7,0.0,2.3283064365386963e-10,False
J_00109,I_00000,16.453833500000002,107.61910899999998,99784.57706737518,residential,4.7,0.0,1.1450854317541838e-10,False
J_00110,I_00000,16.446628299999997,107.61642569999998,97094.64704227448,residential,4.7,0.0,1.1225035952861562e-10,False
J_00111,I_00000,16.502662,107.5795747,97040.8962726593,residential,4.7,0.0,0.0,False
J_00112,I_00000,16.4682838,107.62203009999999,91924.45404815674,residential,4.7,0.0,6.411084963049822e-10,False
J_00113,I_00000,16.503542600000003,107.5912602,90851.98980140686,residential,4.7,0.0,0.0,False
J_00114,I_00000,16.441762799999996,107.61479680000001,90492.25581741333,residential,4.7,0.0,1.5409969458267264e-09,False
J_00115,I_00000,16.448303799999998,107.61888449999998,90243.9965543747,residential,4.7,0.0,2.0312853857741813e-10,False
J_00116,I_00000,16.50108399999999,107.5996189,88478.38659381866,residential,4.7,0.0,0.0,False
J_00117,I_00000,16.497553999999994,107.5638416,88397.81039619446,residential,4.7,0.0,1.9899422992086444e-11,False
J_00118,I_00000,16.4459622,107.6187339,84305.97890853882,residential,4.7,0.0,0.0,False
J_00119,I_00000,16.4934238,107.61417399999999,82226.54705524445,residential,4.7,0.0,1.6737452040358203e-09,False
J_00120,I_00000,16.4463958,107.62011689999999,80173.84038543701,residential,4.7,0.0,2.0538458743418492e-10,False
J_00121,I_00000,16.4938824,107.55722929999999,79127.90930843353,residential,4.7,0.0,0.0,False
J_00122,I_00000,16.487409899999996,107.5502978,78739.5599975586,residential,4.7,0.0,2.335939310094027e-10,False
J_00123,I_00000,16.4970856,107.5606688,78434.73686408997,residential,4.7,0.0,0.0,False
