site_id,latitude,longitude,coverage_radius_m,pop_in_buffer_total,pop_in_buffer_in_outage
J_00030,16.22769573648302,108.07312412860249,4000.0,9685.0751953125,8404.474609375
J_00082,16.438981227586616,107.5139975441275,4000.0,21283.56640625,7519.50732421875
J_00000,16.472873908455245,107.6106799943142,2000.0,72449.703125,45139.125
J_00020,16.450794259691136,107.72511393206908,2000.0,6558.337890625,6558.337890625
J_00057,16.373443668977306,107.85603136854854,1000.0,2722.60986328125,1579.153564453125
J_00049,16.34363572772629,107.9189163333372,1000.0,280.11737060546875,31.31180191040039
J_00012,16.523274223294226,107.69330456813202,4000.0,19016.7109375,18733.501953125
J_00072,16.402115481041722,107.47520524289446,2000.0,1520.73779296875,1520.73779296875
J_00013,16.273160931116365,107.87468923427582,2000.0,11071.984375,11071.984375
J_00048,16.275156728172423,107.9790458824707,1000.0,2767.8984375,2766.415771484375
J_00037,16.161742476623008,107.72726450231792,1000.0,3425.196044921875,3066.113037109375
J_00025,16.579685501922715,107.58736154579384,4000.0,16974.71484375,12568.64453125
J_00042,16.660820621499212,107.38427458078796,2000.0,3460.032470703125,3237.514892578125
J_00032,16.23642580060988,107.25634003768069,2000.0,5803.70166015625,5523.02734375
J_00060,16.421865835419105,107.82715158327233,4000.0,23401.361328125,3447.622802734375
J_00061,16.307299072885844,107.99887024033504,2000.0,4196.1669921875,1207.026611328125
J_00035,16.54268106207316,107.42173424731372,2000.0,2766.520751953125,1415.608642578125
J_00062,16.125824585720828,107.33690100951722,1000.0,633.3804931640625,628.64208984375
J_00008,16.50770560492689,107.5513454513049,4000.0,90601.015625,27595.546875
J_00046,16.633195073021646,107.507332913964,2000.0,4402.6728515625,4119.48828125
