site_id,latitude,longitude,coverage_radius_m,pop_in_buffer_total,pop_in_buffer_in_outage
J_00023,16.442016856115924,107.72822832866149,4000.0,16618.15625,12834.935546875
J_00008,16.50770560492689,107.5513454513049,4000.0,90601.015625,27595.546875
J_00011,16.559754907577233,107.61871360688176,2000.0,4299.6201171875,3929.703369140625
J_00003,16.463456332330566,107.5546957781065,2000.0,64743.953125,13396.3173828125
J_00025,16.579685501922715,107.58736154579384,1000.0,187.67845153808594,187.67845153808594
J_00030,16.22769573648302,108.07312412860249,1000.0,231.65853881835938,231.65853881835938
J_00007,16.448139316005754,107.62900374280078,4000.0,116685.4765625,52542.640625
J_00063,16.11106359177746,107.3459286850522,2000.0,2006.6925048828125,1528.283447265625
J_00019,16.246653516500725,107.24686057726342,2000.0,6477.4765625,5940.20947265625
J_00017,16.54518944601392,107.42752759281646,1000.0,951.3074951171875,529.8814697265625
J_00024,16.506029242964782,107.62567129678769,1000.0,4964.052734375,1.6322519779205322
J_00034,16.582166947493878,107.35875602850297,4000.0,11727.3642578125,9869.740234375
J_00033,16.649846477639887,107.33861595874995,2000.0,4652.63671875,4038.317626953125
J_00041,16.66522777932196,107.36875091304154,2000.0,3992.875,3151.829833984375
J_00065,16.282173515285585,108.00397198020616,4000.0,14408.08984375,7249.64794921875
J_00056,16.14765835550746,107.73729962770445,2000.0,2872.87060546875,664.5051879882812
J_00014,16.52305861296173,107.70145268388114,2000.0,8953.6025390625,8953.6025390625
J_00013,16.273160931116365,107.87468923427582,1000.0,4786.19384765625,4786.19384765625
J_00040,16.659521457681674,107.4522269483472,4000.0,12231.8291015625,10463.1513671875
J_00046,16.633195073021646,107.507332913964,2000.0,4402.6728515625,4119.48828125
