bts_id,power_id,distance_km,total_time_hr,travel_cost_vnd,total_cost_vnd,total_travel_cost_vnd,note
BTS_00025,POWER_0055,46.45314782717163,1.0204809512959536,237483.6331773456,325646.6331773456,237483.6331773456,
BTS_00078,POWER_0126,14.996857400354648,0.3178733009787218,60836.656936621104,148999.65693662112,60836.656936621104,
BTS_00197,POWER_0065,31.52826825963446,0.6539805081346788,108352.8317922395,196515.8317922395,108352.8317922395,
BTS_00212,POWER_0063,63.954732851853024,1.2790946570370605,154837.77427290732,243000.77427290732,154837.77427290732,"fallback_no_path: No path between (107.71151, 16.440107) and (107.117217, 16.369108)."
BTS_00240,POWER_0073,43.128755584319016,0.8625751116863803,104416.98720414078,1784416.9872041408,104416.98720414078,"fallback_no_path: No path between (107.231027, 16.272654) and (107.598877, 16.426154)."
BTS_00243,POWER_0131,8.516884019706687,0.190041825594985,47566.10724782233,135729.10724782234,47566.10724782233,
BTS_00256,POWER_0045,18.0957473976264,0.386337558050792,77209.7473338967,165372.7473338967,77209.7473338967,
BTS_00321,POWER_0089,45.02959178362346,0.9005918356724691,109019.01168666732,1789019.0116866673,109019.01168666732,"fallback_no_path: No path between (107.571889, 16.48309) and (107.283472, 16.200254)."
BTS_00325,POWER_0062,62.40721241027632,1.3241260592667496,254999.6049972031,343162.6049972031,254999.6049972031,
BTS_00416,POWER_0106,13.422562282729237,0.3085319815752732,87308.89403568949,1767308.8940356895,87308.89403568949,
BTS_00449,POWER_0066,46.05561922162413,0.986916734096944,201493.4124373484,1881493.4124373484,201493.4124373484,
BTS_00479,POWER_0014,20.29385374164992,0.4281357827748274,79572.2473756711,167735.2473756711,79572.2473756711,
BTS_00583,POWER_0117,29.85868493528353,0.6360667461937508,125477.39601341942,213640.39601341943,125477.39601341942,
BTS_00674,POWER_0104,47.74370121383038,0.9548740242766076,115590.01346506304,1795590.013465063,115590.01346506304,"fallback_no_path: No path between (107.507786, 16.574283) and (107.203925, 16.256125)."
BTS_00678,POWER_0022,26.37741810503312,0.5517245175307713,96923.07042581662,185086.07042581664,96923.07042581662,
BTS_00708,POWER_0124,47.05087930745484,1.0330697558985698,239798.03467368736,327961.03467368736,239798.03467368736,
BTS_00738,POWER_0096,7.916462371603152,0.1661042223979049,29798.791331028297,117961.7913310283,29798.791331028297,
BTS_00830,POWER_0038,61.43276922732879,1.3250461626724337,280550.58435582445,368713.58435582445,280550.58435582445,
