cow_id,site_id,distance_km,travel_time_hr,travel_cost_vnd,total_time_hr,total_cost_vnd
COW_001,J_00497,1.7481564165574797,0.0349631283311495,4020.759758082203,0.5349631283311495,20004020.75975808
COW_002,J_00087,11.970111601687854,0.21763839275796099,27531.256683882064,0.717638392758,15027531.256683882064
COW_005,J_00001,0.935319439524656,0.0187063887904931,2151.2347109067086,0.5187063887904931,20002151.234710906
COW_006,J_00627,11.702284869140373,0.21276881580255222,26915.255199022857,0.7127688158,15026915.255199022857
COW_007,J_00826,16.016621445216344,0.29121129900393355,36838.22932399759,0.791211299,15036838.22932399759
COW_011,J_00685,0.4769237124592214,0.0095384742491844,1096.9245386562093,0.5095384742491844,20001096.924538657
COW_012,J_00952,11.083684927988092,0.20152154414523804,25492.47533437261,0.701521544145,15025492.47533437261
COW_013,J_00112,1.3228592011983518,0.026457184023967,3042.576162756209,0.526457184023967,20003042.576162755
COW_014,J_00075,7.760489282832607,0.14109980514241102,17849.125350514994,0.641099805142,15017849.125350514994
COW_016,J_00061,2.738086255093141,0.0547617251018628,6297.598386714224,0.5547617251018628,20006297.598386712
COW_020,J_00785,6.486278286505331,0.12972556573010663,14918.440058962262,0.62972556573,20014918.440058962262
COW_021,J_00852,16.362651734210182,0.32725303468420364,37634.09898868342,0.82725303468,20037634.09898868342
COW_022,J_00980,18.80041435168395,0.376008287033679,43240.95300887309,0.876008287034,20043240.95300887309
COW_028,J_00782,1.1552220294840936,0.0231044405896818,2657.0106678134152,0.5231044405896818,20002657.010667812
COW_029,J_00033,36.6051709049275,0.6655485619077727,84191.89308133324,1.16554856191,15084191.89308133324
COW_030,J_00934,10.66207018590284,0.1938558215618698,24522.76142757653,0.693855821562,15024522.76142757653
COW_031,J_00044,2.2456580190941287,0.0449131603818825,5165.013443916496,0.5449131603818825,20005165.013443917
COW_033,J_00031,0.9602927486885176,0.0192058549737703,2208.6733219835905,0.5192058549737703,20002208.673321985
COW_023,J_00514,24.372695409415385,0.4431399165348252,56057.199441655386,0.94313991653,15056057.199441655386
COW_018,J_00012,10.461302714608248,0.19020550390196814,24060.99624359897,0.6902055039,15024060.99624359897
COW_008,J_00716,19.96622855880966,0.332770475980161,45922.32568526222,0.83277047598,10045922.32568526222
