bts_id,power_id,total_time_hr,operating_cost_vnd_24h,travel_cost_vnd,total_cost_vnd
BTS_01293,POWER_0007,0.7456071393302595,1680000.0,90257.7063399788,1770257.7063399788
BTS_02343,POWER_0118,0.1975252233314947,88163.0,29375.384543870485,117538.38454387049
BTS_01033,POWER_0052,0.6225686054388542,88163.0,151137.41028266642,239300.41028266642
BTS_01795,POWER_0031,1.1247191254033049,88163.0,255460.15594195944,343623.15594195947
BTS_03008,POWER_0036,0.9357973565224847,88163.0,170141.853315378,258304.853315378
BTS_02203,POWER_0018,1.8359725971670255,1680000.0,337824.8443193391,2017824.8443193391
BTS_01746,POWER_0126,0.2397474120565693,88163.0,33822.7487445256,121985.7487445256
BTS_04212,POWER_0067,0.48045128665834,1680000.0,92197.0530087531,1772197.053008753
BTS_02100,POWER_0010,0.4549135147041447,1680000.0,121635.5026672412,1801635.5026672413
BTS_02013,POWER_0139,0.56986682399804,88163.0,98918.40510941816,187081.40510941815
BTS_00678,POWER_0011,0.4904820346943256,88163.0,98697.50605446962,186860.50605446962
BTS_02936,POWER_0123,0.1969151538449586,1680000.0,29222.950788138383,1709222.9507881384
BTS_06436,POWER_0081,0.2779480906740518,1680000.0,75480.73013742422,1755480.7301374243
BTS_06150,POWER_0020,0.8252327842773038,1680000.0,99896.60020198942,1779896.6002019895
BTS_03058,POWER_0147,0.1565349553053387,88163.0,27028.543751497185,115191.54375149719
BTS_05401,POWER_0062,0.1695442672051776,88163.0,57146.622876501984,145309.622876502
BTS_04848,POWER_0056,0.0782758150229424,88163.0,9475.493397514085,97638.49339751409
BTS_04727,POWER_0009,0.574336933997633,1680000.0,94078.66382746224,1774078.6638274621
BTS_01392,POWER_0082,0.4519592159484442,88163.0,60415.04252732289,148578.0425273229
BTS_06475,POWER_0017,0.7153730350972417,88163.0,162371.63071499765,250534.63071499765
BTS_03353,POWER_0015,0.96938708356524,1680000.0,241738.24111449695,1921738.241114497
BTS_00256,POWER_0045,0.386337558050792,88163.0,77209.7473338967,165372.7473338967
BTS_02733,POWER_0014,1.108296291046542,88163.0,134162.18260037084,222325.18260037084
BTS_04605,POWER_0132,0.0241334068749697,88163.0,9047.11968119514,97210.11968119514
BTS_01542,POWER_0092,0.7654897842000326,88163.0,150440.8092414451,238603.8092414451
BTS_00025,POWER_0022,0.5781421952694502,88163.0,118537.24484810558,206700.2448481056
BTS_00623,POWER_0035,1.0834348106682412,88163.0,191947.9976718682,280110.9976718682
BTS_02285,POWER_0032,0.1605630769001305,88163.0,21512.69112777923,109675.69112777922
BTS_04889,POWER_0122,0.1516098774719373,88163.0,21655.878934726657,109818.87893472666
BTS_00197,POWER_0078,0.326975617938182,88163.0,44381.95261440501,132544.95261440502
BTS_03494,POWER_0025,0.3112601200127473,1680000.0,40471.110850535166,1720471.110850535
BTS_03554,POWER_0133,0.9854931585423786,1680000.0,119296.54024460372,1799296.5402446038
BTS_04656,POWER_0105,0.5821087326349613,88163.0,115882.94453118448,204045.94453118448
BTS_00240,POWER_0098,0.7360268088153414,1680000.0,139137.9139089788,1819137.913908979
BTS_06333,POWER_0071,0.2830557297123242,1680000.0,96598.68878258303,1776598.688782583
BTS_04884,POWER_0074,0.679656993956927,88163.0,130518.76973964172,218681.76973964172
BTS_02544,POWER_0034,0.0344227497611579,1680000.0,15783.012545504333,1695783.0125455044
BTS_05637,POWER_0112,0.9490521929338676,88163.0,173263.7905387206,261426.7905387206
BTS_03784,POWER_0021,0.9029903728282128,1680000.0,220401.0939202976,1900401.0939202977
BTS_04003,POWER_0047,0.220949091984883,88163.0,48089.32385727754,136252.32385727754
BTS_06356,POWER_0068,0.568708404411007,88163.0,113455.52218026176,201618.52218026176
BTS_01617,POWER_0084,0.2577750029100111,1680000.0,84314.7254804892,1764314.7254804892
BTS_04427,POWER_0072,0.5461426205296417,88163.0,121451.40847525367,209614.40847525367
BTS_03537,POWER_0004,0.2661989148603625,1680000.0,66402.8056728976,1746402.8056728975
BTS_01633,POWER_0006,0.2896639743064991,88163.0,46904.02342904476,135067.02342904476
BTS_01668,POWER_0108,0.3259013557834431,88163.0,64883.301043977146,153046.30104397715
BTS_06398,POWER_0127,0.7438827879102689,88163.0,130512.99694782638,218675.99694782638
BTS_00738,POWER_0144,1.1305541601575555,1680000.0,212680.6258307556,1892680.6258307556
BTS_00976,POWER_0129,0.5601768629010645,88163.0,114325.94008203468,202488.94008203468
BTS_05616,POWER_0137,0.819706388642278,88163.0,170885.41094157108,259048.41094157108
BTS_03742,POWER_0049,0.3120452878934464,88163.0,110561.5751578678,198724.5751578678
BTS_04358,POWER_0069,0.4822155821380746,1680000.0,132309.09497607447,1812309.0949760745
BTS_05869,POWER_0079,0.1674292360956545,1680000.0,23570.85392601873,1703570.8539260188
BTS_02760,POWER_0124,1.2334342019196398,88163.0,235809.744179259,323972.744179259
BTS_03933,POWER_0027,0.2957003146789831,88163.0,62579.57249389312,150742.57249389312
BTS_06355,POWER_0141,0.3075451954484399,88163.0,111166.33370047632,199329.33370047633
BTS_06471,POWER_0102,0.545958733117855,88163.0,111377.0841317004,199540.0841317004
BTS_06466,POWER_0094,0.1222414158042856,88163.0,19598.338671880723,107761.33867188072
BTS_02041,POWER_0016,0.9152772429206684,88163.0,196808.82465944448,284971.8246594445
BTS_03560,POWER_0085,0.5122048976617979,88163.0,86557.41732365065,174720.41732365065
BTS_02470,POWER_0008,0.1473115545445605,1680000.0,19908.55947421023,1699908.5594742103
BTS_02599,POWER_0128,0.4466789930368834,88163.0,59775.85764855501,147938.85764855501
BTS_06201,POWER_0119,0.0754313329599314,88163.0,11207.269492913016,99370.26949291301
BTS_03563,POWER_0019,0.1697846907249792,88163.0,24770.025924139023,112933.02592413902
BTS_05184,POWER_0023,0.8549860874177384,1680000.0,214854.15674150924,1894854.1567415092
BTS_00894,POWER_0096,0.8924460090560017,88163.0,170756.85182530375,258919.85182530375
BTS_06455,POWER_0044,0.8106163486441029,1680000.0,98127.24220428614,1778127.2422042862
BTS_00078,POWER_0135,0.3178733009787218,88163.0,60836.656936621104,148999.65693662112
BTS_01291,POWER_0046,1.2033151864607607,1680000.0,216597.79504859203,1896597.7950485921
BTS_03103,POWER_0142,1.0710850772347276,1680000.0,208517.7991021023,1888517.7991021024
BTS_06480,POWER_0145,0.3090570759327347,1680000.0,104642.84256573246,1784642.8425657325
BTS_00243,POWER_0117,0.1477388024042843,88163.0,54507.01397955174,142670.01397955173
BTS_05498,POWER_0002,0.7789006783624784,88163.0,124222.50326932388,212385.50326932388
BTS_02862,POWER_0050,0.1778016072409106,1680000.0,69177.93877586027,1749177.9387758602
BTS_05694,POWER_0086,1.2988149748762714,1680000.0,234048.5188381138,1914048.5188381139
BTS_02532,POWER_0060,0.5497562094241194,88163.0,72253.62594806256,160416.62594806257
BTS_05330,POWER_0001,1.1949677054334935,1680000.0,220215.68731628967,1900215.6873162896
BTS_06358,POWER_0066,0.5554381358154621,1680000.0,97036.22028106022,1777036.2202810603
BTS_06342,POWER_0110,0.506217984339482,88163.0,107834.25910731145,195997.25910731143
BTS_00708,POWER_0088,1.0330697558985698,1680000.0,239798.03467368736,1919798.0346736873
BTS_06462,POWER_0076,1.0573972660378237,88163.0,198722.78214784083,286885.78214784083
BTS_02553,POWER_0091,0.0426743964648533,1680000.0,9106.841003299574,1689106.8410032997
BTS_06351,POWER_0138,0.5087391295641627,88163.0,89144.71254525756,177307.71254525756
BTS_04866,POWER_0059,1.0566954976235448,88163.0,199439.07791231247,287602.07791231247
BTS_05956,POWER_0120,1.8967509276786652,1680000.0,337263.3497110887,2017263.3497110887
BTS_00583,POWER_0013,0.5798511724476292,1680000.0,111717.3592442594,1791717.3592442593
BTS_02111,POWER_0038,0.0994310465184488,88163.0,13030.317519739763,101193.31751973976
BTS_05448,POWER_0089,0.5865570466579457,1680000.0,92715.58798643004,1772715.5879864302
BTS_06161,POWER_0024,0.9689934925763836,88163.0,206937.42612195405,295100.42612195405
BTS_01878,POWER_0093,0.5369716704560715,1680000.0,116678.45114252402,1796678.451142524
BTS_06458,POWER_0143,0.7777992905859205,88163.0,124089.17738058264,212252.17738058264
BTS_06460,POWER_0095,0.3287521139190276,1680000.0,81169.53677829308,1761169.536778293
BTS_00479,POWER_0116,0.1536644830724271,88163.0,19751.32809925792,107914.32809925792
BTS_06363,POWER_0100,0.2915277516703199,88163.0,40090.89511882172,128253.89511882172
