cow_id,site_id,distance_km,travel_time_hr,total_time_hr,travel_cost_vnd,cost_vnd,total_cost_vnd
COW_001,J_00970,2.5052310003363973,0.0501046200067279,0.5501046200067279,5762.031300773714,20000000.0,20005762.031300772
COW_002,J_00665,12.137398197212155,0.2206799672220392,0.72067996722,27916.015853587956,15000000.0,15027916.015853587956
COW_005,J_00002,2.2084163094153517,0.044168326188307,0.544168326188307,5079.357511655308,20000000.0,20005079.357511654
COW_006,J_00168,1.5876287178235575,0.028865976687701,0.528865976687701,3651.546050994182,15000000.0,15003651.546050994
COW_007,J_00082,10.514785610919272,0.19117792019853222,0.69117792019,24184.006905114325,15000000.0,15024184.006905114325
COW_017,J_00654,9.102904600946045,0.1820580920189209,0.68205809201,20936.680582175904,20000000.0,20020936.680582175904
COW_011,J_00869,3.271434916079532,0.0654286983215906,0.5654286983215906,7524.300306982924,20000000.0,20007524.300306983
COW_018,J_00012,10.461302714608248,0.19020550390196814,0.6902055039,24060.99624359897,15000000.0,15024060.99624359897
COW_013,J_00628,1.6270448298637572,0.0325408965972751,0.5325408965972751,3742.203108686642,20000000.0,20003742.203108687
COW_016,J_00061,2.738086255093141,0.0547617251018628,0.5547617251018628,6297.598386714224,20000000.0,20006297.598386712
COW_020,J_00635,4.9473838245810935,0.0989476764916218,0.5989476764916218,11378.982796536517,20000000.0,20011378.982796535
COW_021,J_00646,21.545504216208364,0.4309100843241673,0.93091008432,49554.65969727924,20000000.0,20049554.65969727924
COW_028,J_00798,3.1771052381434046,0.063542104762868,0.563542104762868,7307.3420477298305,20000000.0,20007307.34204773
COW_023,J_00940,18.605237817154805,0.33827705122099644,0.83827705122,42792.04697945605,15000000.0,15042792.04697945605
COW_031,J_00673,4.8278129075524525,0.096556258151049,0.596556258151049,11103.969687370642,20000000.0,20011103.969687372
COW_034,J_00814,2.528195441074694,0.0505639088214938,0.5505639088214938,5814.849514471796,20000000.0,20005814.849514473
COW_035,J_00066,8.375041807426696,0.1522734874077581,0.6522734874,19262.5961570814,15000000.0,15019262.5961570814
COW_036,J_00058,1.251355602401019,0.02085592670668365,0.5208559267,2878.117885522344,10000000.0,10002878.117885522344
COW_012,J_00942,12.325604979477413,0.22410190871777114,0.72410190871,28348.89145279805,15000000.0,15028348.89145279805
COW_019,J_00855,15.401633567441694,0.2566938927906949,0.75669389279,35423.75720511589,10000000.0,10035423.75720511589
COW_015,J_00716,22.437995381195197,0.37396658968658664,0.87396658968,51607.38937674895,10000000.0,10051607.38937674895
COW_029,J_00667,8.822456694857404,0.1604083035428619,0.66040830354,20291.65039817203,15000000.0,15020291.65039817203
COW_030,J_00934,10.66207018590284,0.1938558215618698,0.69385582156,24522.76142757653,15000000.0,15024522.76142757653
