cow_id,site_id,latitude,longitude,coverage_radius_m,pop_in_buffer_total,pop_in_buffer_in_outage,total_cost_vnd,deployment_time_hr
COW_001,1,16.471605994639322,107.58732256465188,4000.0,349945.3125,240967.53125,20008816.531438824,0.5766654908
COW_002,884,16.505823488092098,107.62559203252786,2000.0,14732.990234375,4976.572265625,15014454.277457342,0.6142630629
COW_005,125,16.50014980005214,107.55640725901563,4000.0,135254.6875,97667.7265625,20014785.05058939,0.62856565729
COW_006,381,16.49499848195188,107.43164654473709,2000.0,5251.3876953125,3232.89892578125,15042655.852215972,0.83720041277
COW_013,725,16.44144245569221,107.52366417530857,4000.0,37515.98828125,8952.2978515625,20005074.134849828,0.544122911737624
COW_014,807,16.346910710357978,107.61541737994595,2000.0,1308.86669921875,994.938232421875,15031388.748509323,0.74813239928
COW_018,607,16.639576357967957,107.30958056049603,2000.0,2178.279541015625,1908.685546875,15019627.53967374,0.65515841639
COW_020,792,16.273636782886193,107.86558158522222,4000.0,15821.01953125,5779.185546875,20011501.96929569,0.6000171243103661
COW_021,991,16.12692227345444,107.66517211761851,4000.0,7688.82568359375,5442.7490234375,20058496.297688194,1.00866345816
COW_023,935,16.309858809322595,107.98259444400439,2000.0,2929.4619140625,2858.42431640625,15037131.00455929,0.79352572774
COW_024,404,16.161488293172795,107.70963978314883,2000.0,7974.0224609375,4355.22607421875,15044554.729145527,0.85221129759
COW_025,761,16.312334982774534,108.01445937299613,2000.0,3546.536865234375,1959.063720703125,20044966.230614584,0.85546427363
COW_027,241,16.168432939344697,107.68418918839362,1000.0,820.105224609375,820.105224609375,10047846.150808439,0.84671123774
COW_028,650,16.411915101215715,107.69458226303104,4000.0,47444.2890625,6063.9697265625,20009588.173013844,0.5833754175116713
COW_029,412,16.182087893878833,107.69213451574214,2000.0,2051.01708984375,2031.23779296875,15066170.03351094,1.02308326886
COW_030,17,16.17949917976087,107.7014346743496,2000.0,2838.13330078125,2256.272705078125,15066702.017121809,1.0272886729
COW_031,361,16.58367025605213,107.52116740528979,4000.0,26921.861328125,13780.4306640625,20003996.77235904,0.534754542252533
COW_033,8,16.24914709978052,107.23812803379454,4000.0,22510.6484375,15892.484375,20006285.826602153,0.5546593617578652
COW_034,169,16.276678353561245,107.20393790406754,4000.0,16910.65234375,13113.7724609375,20006656.444463797,0.5578821257721616
