cow_id,site_id,latitude,longitude,coverage_radius_m,pop_in_buffer_total,pop_in_buffer_in_outage,total_cost_vnd,deployment_time_hr
COW_001,J_00527,16.4832781,107.5715416,4000.0,275945.25,212472.078125,20077865.20190764,1.1770887122
COW_002,J_00594,16.4832781,107.5715416,2000.0,103801.28125,90404.46875,15068117.71525083,1.0384799625
COW_003,J_00335,16.4832781,107.5715416,1000.0,26942.73046875,25808.306640625,10055880.313521083,0.9049298081
COW_004,J_00475,16.4832781,107.5715416,1000.0,26942.73046875,25808.306640625,10048602.920115953,0.8521950733
COW_006,J_00868,16.4626288,107.6022722,2000.0,120132.46875,86389.90625,15086908.726665637,1.1870255072
COW_008,J_00865,16.4626288,107.6022722,1000.0,47589.7578125,29406.607421875,10111354.957418136,1.3069199813
COW_009,J_00139,16.4626288,107.6022722,1000.0,47589.7578125,29406.607421875,10048575.521700196,0.8519965341
COW_010,J_00997,16.4626288,107.6022722,1000.0,47589.7578125,29406.607421875,10087648.54541228,1.135134387
COW_025,J_00822,16.2893818,107.832841,2000.0,1897.2269287109375,0.0,15057153.340595445,0.951805064
COW_031,J_00462,16.5743603,107.508071,4000.0,32612.32421875,13503.052734375,20116761.106704783,1.5153139713
