site_id,latitude,longitude,pop,priority_category,priority_weight
I_00000,16.466648145458475,107.58910066002058,151610.71295833588,command_centers_clean,12.7
I_00001,16.535850360731086,107.39127689759214,21804.001523017883,residential_clean,2.2
I_00002,16.56716986885463,107.61440223878064,19833.13524055481,residential_clean,2.2
I_00003,16.2593410138585,107.23629278778593,13728.822458744049,residential_clean,5.2
I_00004,16.653695574188397,107.44640049921321,10287.85116147995,residential_clean,2.2
I_00005,16.63360806198049,107.51714121104253,4241.842420578003,residential_clean,2.2
I_00006,16.167440679360677,107.69580849247207,3630.432409763336,residential_clean,2.2
I_00007,16.344393440002648,107.15146929713055,3613.4015855789185,residential_clean,2.2
I_00008,16.491378522476666,107.74764994791047,3588.576114177704,normal,1.0
I_00009,16.69399859082775,107.37544254419194,2514.12331867218,residential_clean,2.2
I_00010,16.588618220294773,107.52433505679919,2349.4732241630554,residential_clean,2.2
I_00011,16.306407372816146,107.97976937948185,1855.2564029693604,residential_clean,2.2
I_00012,16.640254095578403,107.31574759760416,1671.5076622962952,residential_clean,2.2
I_00013,16.32786273293017,107.93359174444048,1188.2296442985535,normal,1.0
I_00014,16.330417113564984,107.73827715093368,1173.8923206329346,residential_clean,3.7
I_00015,16.27421902548496,107.86865770269203,1007.2502880096436,hospitals_clean,6.0
I_00016,16.514318465705546,107.64314278882138,897.4307870864868,residential_clean,2.2
I_00017,16.195416992471316,107.72335728284149,895.023729801178,residential_clean,2.2
I_00018,16.113034735435072,107.32979957531848,876.3254284858704,residential_clean,4.2
I_00019,16.357736843282105,107.61631757805708,803.077335357666,normal,1.0
I_00020,16.368706034449158,107.0461155184822,794.400242805481,residential_clean,2.2
I_00021,16.183841816903076,107.30286985535471,616.7426815032959,residential_clean,2.2
I_00022,16.1096856710447,107.39524544905845,530.3679413795471,residential_clean,2.2
I_00023,16.64437527723563,107.342915517295,463.2925362586975,residential_clean,2.2
I_00024,16.079898505027884,107.35791551723499,371.4377660751343,residential_clean,2.2
I_00025,16.350858185705636,107.44570963453086,278.8073854446411,normal,1.0
I_00026,16.29990969644335,107.32512566229367,190.71347999572754,residential_clean,2.2
I_00027,16.142758216727167,107.75739964262118,186.3197259902954,residential_clean,2.2
I_00028,16.223055846157465,108.04256829227417,182.93373203277588,normal,1.0
I_00029,16.39630979816357,107.07226075647286,136.45536470413208,residential_clean,2.2
I_00030,16.356898421794764,107.8324525523739,98.80155229568481,normal,1.0
I_00031,16.296157679185157,107.39143403561944,94.38315534591675,residential_clean,2.2
I_00032,16.2480095312266,107.30819329521168,93.67103052139282,normal,1.0
I_00033,16.37193212003288,107.67435490990866,92.79354524612427,normal,1.0
I_00034,16.328750275419367,107.41263773923833,85.96534299850464,residential_clean,2.2
I_00035,16.08597250475104,107.38550810971722,68.46498155593872,residential_clean,2.2
I_00036,16.474444715392952,107.44222107245332,63.523178577423096,normal,1.0
I_00037,16.221354439296405,107.18781135124875,57.62113666534424,residential_clean,2.2
I_00038,16.734305825630596,107.39541551708498,48.05093002319336,residential_clean,2.2
I_00039,16.50402804816066,107.62097107173832,40.74768543243408,residential_clean,2.2
I_00040,16.312916941848986,107.15062385139748,38.67550754547119,normal,1.0
I_00041,16.327778113221026,107.70208218252499,38.638768672943115,normal,1.0
I_00042,16.056805827715923,107.48097107229833,24.385602474212646,normal,1.0
I_00043,16.46236138643491,107.43041551694498,22.028131008148193,normal,1.0
I_00044,16.221851153449418,107.18767308694758,59.879675774797946,residential_clean,2.2
I_00045,16.16632879924263,107.69612739465674,2518.0559832824233,residential_clean,2.2
I_00046,16.081477717843384,107.35868295196416,227.45017479129208,residential_clean,2.2
I_00047,16.220773561162375,107.18728618144156,40.91346779558965,residential_clean,2.2
I_00048,16.25958297613007,107.23437950754126,11795.351358972326,residential_clean,5.2
I_00049,16.196233437552262,107.72183340684387,611.9244271478005,residential_clean,2.2
I_00050,16.355990397719246,107.83104024867256,86.31718481507785,normal,1.0
I_00051,16.329787638604063,107.73887487140058,1066.5289073349977,residential_clean,3.7
I_00052,16.53530597800656,107.39138782018185,21030.54623950711,residential_clean,2.2
I_00053,16.653095320338295,107.44734793903426,6775.612399802837,residential_clean,2.2
I_00054,16.258739307246273,107.23814506597043,9242.558230863917,residential_clean,5.2
I_00055,16.142224567923325,107.75739411475887,213.4464324857996,residential_clean,2.2
I_00056,16.331239658477088,107.73705630728371,923.8845354663134,residential_clean,3.7
I_00057,16.37148434749071,107.04730915820647,564.7492002951807,residential_clean,2.2
I_00058,16.34513190658264,107.15164066541172,2359.896319683102,residential_clean,2.2
I_00059,16.084963419408172,107.38392481550369,52.2257328069362,residential_clean,2.2
I_00060,16.535389721960126,107.39233401981835,16757.69880006589,residential_clean,2.2
I_00061,16.055675275411243,107.48110550118096,26.368595491736563,normal,1.0
I_00062,16.356221499794458,107.83306422866274,59.608287623673185,normal,1.0
I_00063,16.057387950510638,107.48185882075792,25.29772888494702,normal,1.0
I_00064,16.085133287227816,107.38519889734137,76.53440501362725,residential_clean,2.2
I_00065,16.221547692867922,108.04366793924996,116.73641895146676,normal,1.0
I_00066,16.1085793360707,107.39404924243436,550.3966009215029,residential_clean,2.2
I_00067,16.196251787890546,107.72365384422582,790.6003760324459,residential_clean,2.2
I_00068,16.633969698005536,107.51649609128792,4481.383627645594,residential_clean,2.2
I_00069,16.27571445973785,107.86899588394402,902.7756267993419,hospitals_clean,6.0
I_00070,16.11041499033098,107.33062147782285,539.1605133729757,residential_clean,4.2
I_00071,16.642956526777038,107.34395800891234,419.34572498113886,residential_clean,2.2
I_00072,16.633388390092648,107.51749832361402,3589.5732673148004,residential_clean,2.2
I_00073,16.183052558574378,107.30361356663849,398.5316865077926,residential_clean,2.2
I_00074,16.112226241832175,107.32929781827488,1014.6258732223702,residential_clean,4.2
I_00075,16.223557294488995,108.0437264789271,205.4119620691803,normal,1.0
I_00076,16.466118385254703,107.5896139274537,172159.33144606778,command_centers_clean,12.7
I_00077,16.18521367903662,107.30304540864869,701.6402596139311,residential_clean,2.2
I_00078,16.312214888755108,107.15029618925087,28.494609386544152,normal,1.0
I_00079,16.373205853653012,107.67406295723782,103.59827254094681,normal,1.0
I_00080,16.344398553459285,107.15123470999717,3073.005099716882,residential_clean,2.2
I_00081,16.633212545528906,107.51685207418606,3404.371665881175,residential_clean,2.2
I_00082,16.371770834321218,107.67475896076546,84.56037976687934,normal,1.0
I_00083,16.222112789349,108.04397225101283,216.42327308850295,normal,1.0
I_00084,16.366787263233864,107.04608900460674,612.4065604198646,residential_clean,2.2
I_00085,16.588720567977322,107.52390244751865,2118.3024777526225,residential_clean,2.2
I_00086,16.306215011851364,107.9800709268242,1274.4441253044172,residential_clean,2.2
I_00087,16.330756934529173,107.73826977078373,874.8234870174028,residential_clean,3.7
I_00088,16.492521345291173,107.74840188094316,2664.8139170284094,normal,1.0
I_00089,16.2953558513418,107.39281805133837,92.43730486857568,residential_clean,2.2
I_00090,16.196003849565113,107.7255477384673,585.501129934899,residential_clean,2.2
