site_id,latitude,longitude,pop,priority_category,priority_weight
I_00000,16.476562911103752,107.61462267733347,54171.01523208618,residential_clean,7.2
I_00001,16.5358546646529,107.42156671217028,30230.1800699234,residential_clean,3.7
I_00002,16.552191199106165,107.63301779648334,22996.054547309875,residential_clean,3.7
I_00003,16.667245112065654,107.3847822413647,17834.92855834961,residential_clean,2.2
I_00004,16.478328028469324,107.5544248404583,15926.448597431183,residential_clean,8.7
I_00005,16.580227472509613,107.5302584750056,5561.377907752991,residential_clean,2.2
I_00006,16.16494320640371,107.70323439340474,4913.466088294983,residential_clean,5.2
I_00007,16.63359003301503,107.51721119302739,4229.185590744019,residential_clean,2.2
I_00008,16.67537062616211,107.47049315653624,3940.3094868659973,residential_clean,2.2
I_00009,16.248314394767633,107.24101288926772,3886.4127531051636,residential_clean,2.2
I_00010,16.47094477358834,107.70863417026638,3346.176227092743,normal,1.0
I_00011,16.330554453972702,107.17119080819748,2229.0326981544495,residential_clean,2.2
I_00012,16.352209290397802,107.61856610098772,1946.9243440628052,normal,1.0
I_00013,16.284456519957196,107.21898896411837,1737.4420471191406,residential_clean,2.2
I_00014,16.25903744725311,107.88762847807911,1428.7877321243286,schools_clean,3.0
I_00015,16.401678552503103,107.71501042321401,1240.6812028884888,residential_clean,2.2
I_00016,16.353966430329326,107.53190471406988,1188.2932348251343,normal,1.0
I_00017,16.375782849761578,107.05214797459841,1182.6488780975342,residential_clean,2.2
I_00018,16.32793124480822,107.93385995937565,1173.8363313674927,normal,1.0
I_00019,16.529828731815083,107.53652662763169,1029.785300731659,residential_clean,2.2
I_00020,16.58971699344854,107.58351551633257,944.6021313667297,normal,1.0
I_00021,16.113034735435072,107.32979957531848,876.3254284858704,residential_clean,4.2
I_00022,16.4495095498052,107.74076736755543,752.6544961929321,normal,1.0
I_00023,16.515272989122295,107.29336819239028,727.470705986023,residential_clean,2.2
I_00024,16.30319479392832,107.3890558679876,578.1364169120789,residential_clean,2.2
I_00025,16.66009287477556,107.45948959090278,555.2109847068787,residential_clean,4.2
I_00026,16.22026072904161,108.05550232000022,351.3687081336975,normal,1.0
I_00027,16.445383604622215,107.64874884940498,340.2112112045288,normal,1.0
I_00028,16.322863188926057,107.73358755874307,331.95105504989624,residential_clean,3.7
I_00029,16.299802906733863,107.33210411382949,325.41033697128296,residential_clean,2.2
I_00030,16.17561308484226,107.3114449291856,299.64694595336914,residential_clean,2.2
I_00031,16.109120681518014,107.39631057880983,287.64180994033813,residential_clean,2.2
I_00032,16.267854607292332,107.77951968221525,283.78768396377563,normal,1.0
I_00033,16.350858185705636,107.44570963453086,278.8073854446411,normal,1.0
I_00034,16.352007851669256,107.66480945540134,258.11686658859253,normal,1.0
I_00035,16.379238791157512,107.10593275962226,251.30631589889526,residential_clean,2.2
I_00036,16.506856334200055,107.67109733416409,235.24756479263306,residential_clean,2.2
I_00037,16.142758216727167,107.75739964262118,186.3197259902954,residential_clean,2.2
I_00038,16.075416946261388,107.3678792853111,163.3072109222412,residential_clean,2.2
I_00039,16.357211835262707,107.76451807971111,156.5417037010193,normal,1.0
I_00040,16.39412064400745,107.7425451453261,120.12074089050293,residential_clean,2.2
I_00041,16.3045836218417,108.03354051453249,108.88353776931763,normal,1.0
I_00042,16.356898421794764,107.8324525523739,98.80155229568481,normal,1.0
