bts_id,power_id,total_time_hr,operating_cost_vnd_24h,travel_cost_vnd,total_cost_vnd
BTS_01247,POWER_0014,0.4031834507135104,88163.0,59520.11834856146,147683.11834856146
BTS_05148,POWER_0118,0.6003190218670472,88163.0,105138.14088908015,193301.14088908015
BTS_01970,POWER_0022,0.7618924168090803,88163.0,152777.99935352846,240940.99935352846
BTS_01795,POWER_0073,0.8270267802805189,1680000.0,100113.7681392207,1780113.7681392208
BTS_01256,POWER_0113,0.1549821558446988,88163.0,19368.9361767295,107531.9361767295
BTS_03616,POWER_0037,0.3700438219439188,88163.0,72783.28866259941,160946.2886625994
BTS_00060,POWER_0004,0.1769182248805099,1680000.0,41343.31614368796,1721343.316143688
BTS_01060,POWER_0084,0.4935796901251011,1680000.0,131389.2572193177,1811389.2572193176
BTS_01514,POWER_0147,1.1967843770374105,88163.0,215814.12713979467,303977.12713979464
BTS_05033,POWER_0137,0.1564022598478473,88163.0,21106.52760309092,109269.52760309092
BTS_06057,POWER_0038,0.8108303664923043,88163.0,196546.9732571696,284709.9732571696
BTS_03181,POWER_0007,0.331044649925939,1680000.0,76990.48218316204,1756990.4821831621
BTS_04824,POWER_0133,0.9117994918452648,1680000.0,110375.72796021627,1790375.7279602163
BTS_04230,POWER_0121,0.1701449967121229,88163.0,35702.41441433027,123865.41441433027
BTS_04578,POWER_0046,1.38486072701989,1680000.0,239477.85695426757,1919477.8569542675
BTS_02936,POWER_0062,0.3053260590845881,88163.0,59473.08353690788,147636.08353690788
BTS_06150,POWER_0017,0.7599989120821607,88163.0,121934.39471960111,210097.3947196011
BTS_04703,POWER_0039,0.3243590231335672,1680000.0,104573.41044634883,1784573.4104463488
BTS_02281,POWER_0139,0.177382775205099,88163.0,29688.113090596024,117851.11309059602
BTS_01973,POWER_0098,1.0113066719546753,1680000.0,177881.91282580368,1857881.9128258037
BTS_06382,POWER_0101,0.2545694012033502,1680000.0,53328.8565302317,1733328.8565302317
BTS_00575,POWER_0068,0.2516706109254904,88163.0,49522.17574286139,137685.1757428614
BTS_00213,POWER_0111,0.5050325495430487,88163.0,155287.10507345427,243450.10507345427
BTS_02431,POWER_0033,0.0600192859502515,88163.0,14208.01593606358,102371.01593606357
BTS_03653,POWER_0078,0.7392972127781491,88163.0,143941.15947474045,232104.15947474045
BTS_03436,POWER_0120,0.8099828818493394,1680000.0,153980.7142575806,1833980.7142575807
BTS_03050,POWER_0035,0.3206023257230711,88163.0,50649.19228473504,138812.19228473504
