power_id,bts_id,latitude,longitude,coverage_radius_m,pop_in_buffer_total,pop_in_buffer_in_outage,total_cost_vnd,deployment_time_hr
POWER_0115,18,16.49131971520533,107.57888774092729,1000.0,16060.62109375,15798.0048828125,1697340.0603629467,0.049929990172953
POWER_0119,22,16.396250270828677,107.7266655158268,1000.0,1632.8824462890625,24.886709213256836,115835.57008280106,0.1642791364639338
POWER_0019,60,16.425481046997287,107.65192191494452,2500.0,28186.51171875,770.0657958984375,115107.03488590839,0.1651541579675731
POWER_0143,102,16.34208360396498,107.765415515605,2500.0,10490.9814453125,686.8656005859375,123904.93880173314,0.2306333428227387
POWER_0022,149,16.563750269744983,107.454582183515,1000.0,1681.1309814453125,666.635986328125,137598.88178966515,0.2865599190434969
POWER_0050,213,16.549338512966226,107.57580767008024,2500.0,14400.6171875,14400.6171875,1769951.205875952,0.2359583300315758
POWER_0057,240,16.427708604456676,107.60124884967112,2500.0,39935.5703125,508.6471252441406,1698539.7091678388,0.1258676054846028
POWER_0065,245,16.447916937200898,107.57562384960936,1000.0,25388.52734375,5668.65625,104654.90160693305,0.0945926075509206
POWER_0081,325,16.11402804974811,107.65430440454682,2500.0,3491.72900390625,1474.499267578125,1797540.1289297112,0.9709836737671788
POWER_0056,333,16.251250270994984,107.867915515195,2500.0,5707.88671875,3083.19775390625,108648.61258516178,0.1692289735295974
POWER_0128,367,16.440357414139317,107.78666551590972,2500.0,14484.93359375,0.0,119985.48646620467,0.2232235062791355
POWER_0086,416,16.516250270351108,107.30333218417636,1000.0,666.9680786132812,666.9680786132812,1715405.0964202718,0.1200630748147268
POWER_0087,449,16.373750270504978,107.813748848745,2500.0,5677.81884765625,1555.663818359375,1723451.3253676023,0.319287827638508
POWER_0060,575,16.480416936744987,107.641248849435,1000.0,5404.69921875,51.6995735168457,137685.1757428614,0.2516706109254904
POWER_0100,738,16.413750270344984,107.755415515645,2500.0,8281.568359375,129.02017211914062,117961.7913310283,0.1661042223979049
POWER_0035,757,16.29958360413498,108.013748847945,2500.0,5708.82763671875,2223.57470703125,183577.80811432906,0.5297326784023801
POWER_0046,852,16.563750270162313,107.55499884984252,1000.0,2777.8779296875,969.4754638671875,1820737.213863388,0.5680412376374444
POWER_0102,976,16.430416937242374,107.68916551672434,2500.0,16064.236328125,866.6978759765625,99421.35245011991,0.075853322606423
POWER_0142,1019,16.557500271819524,107.5843738524453,1000.0,4055.7451171875,4055.7451171875,1906618.117887094,1.0453519655130676
POWER_0015,1060,16.507083603721096,107.6349988495245,1000.0,4397.4912109375,3844.96875,1718562.5962942669,0.1917811693762039
POWER_0079,1216,16.43375027028471,107.60624884939224,2500.0,61369.1015625,17967.93359375,1694639.7654528564,0.0870269224628666
POWER_0008,1247,16.389166937117196,107.84374884855022,2500.0,14798.021484375,0.0,1739520.1183485615,0.4031834507135104
POWER_0006,1256,16.32041693738499,107.772915515575,2500.0,15951.78125,0.0,107531.9361767295,0.1549821558446988
POWER_0144,1279,16.547083603144983,107.545415516485,2500.0,15898.376953125,12356.30859375,1802394.117453925,0.5530048025320432
